Model,Segment,Start_min,End_min,IPA_rate_g_h,Water_rate_g_h
none,1,0.0,193.77068333333332,0.0,0.0
ipa,1,0.0,193.77068333333332,0.6976153228109552,0.0
mixed,1,0.0,193.77068333333332,0.6925122680297968,0.6463509029301285
