Model,IPA_rate_g_h,Water_rate_g_h,Total_rate_g_h,IPA_mass_fraction_in_loss,IPA_loss_g,Water_loss_g,RMSE_density_kg_m3,RMSE_sound_m_s,Weighted_SSE,Fitted_parameters_including_offsets,Normalized_Jacobian_condition,Boundary_parameters,IPA_rate_conditional_CI95_low_g_h,IPA_rate_conditional_CI95_high_g_h,Water_rate_conditional_CI95_low_g_h,Water_rate_conditional_CI95_high_g_h
none,0.0,0.0,0.0,,0.0,0.0,0.1269188704463589,0.5215910993476559,21322.645630980714,2,,,,,,
ipa,0.6976153228109552,0.0,0.6976153228109552,1.0,2.2529566300813784,0.0,0.039558699551203357,0.16184537146706748,2063.9916678279696,3,,,0.6077398863128619,0.7927598301347786,0.0,0.0
mixed,0.6925122680297968,0.6463509029301285,1.3388631709599252,0.5172390151962176,2.2364762565475034,2.0873976022314666,0.03920494374268071,0.15914305331573617,2014.569575784245,4,1.1569430403681131,,0.6048247218603485,0.787016912023838,0.15742935029375285,1.021761744664033
