SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_File,Source_Path,Source_Row,Mass_Total_g,Al_wt_pct,IPA_wt_pct,PG_wt_pct,MG_wt_pct,Water_wt_pct,Composition_Sum_wt_pct,Measurement_Time_UTC,Elapsed_Time_h,Time_Delta_min,Time_Gap_Flag,Time_Segment,Segment_Elapsed_h,Evaluation_Reason,Evaluation_Usable,Rho_Sim_kg_m3,C_Sim_m_s,Simulation_Status,Rho_Error,Rho_Abs_Error,Rho_Rel_Error_pct,Rho_Abs_Rel_Error_pct,C_Error,C_Abs_Error,C_Rel_Error_pct,C_Abs_Rel_Error_pct,Rho_High_Deviation,C_High_Deviation
1,2012-01-23,00:14:28.362,1,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,997.0609,0.001130288,0.005249023,1495.739,0.01202353,0.0447998,24.64088,0.004382846,1496.219,0.0006385954,7.021508,3.291966e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,2,100.0,0.0,0.0,0.0,0.0,100.0,100.0,2012-01-23 00:14:28.362,0.0,,False,1,0.0,,True,997.1325975999999,1495.7272328299673,ok,0.07169759999999314,0.07169759999999314,0.007190894758784859,0.007190894758784859,-0.011767170032726426,0.011767170032726426,-0.0007867127909833484,0.0007867127909833484,False,False
2,2012-01-23,00:14:58.458,2,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,997.0598,0.001170192,0.004638672,1495.749,0.01044954,0.04321289,24.64495,0.003775247,1496.22,0.0005380613,7.021479,2.872056e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,3,100.0,0.0,0.0,0.0,0.0,100.0,100.0,2012-01-23 00:14:58.458,0.00836,0.5016,False,1,0.00836,,True,997.1316615000001,1495.7382063314856,ok,0.07186150000006819,0.07186150000006819,0.0072073410240858365,0.0072073410240858365,-0.010793668514452293,0.010793668514452293,-0.0007216229804901953,0.0007216229804901953,False,False
3,2012-01-23,00:15:06.871,3,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,997.0596,0.001176809,0.004638672,1495.752,0.01034916,0.04284668,24.64603,0.003716595,1496.22,0.0005300458,7.02147,2.840971e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,4,100.0,0.0,0.0,0.0,0.0,100.0,100.0,2012-01-23 00:15:06.871,0.010696944444444445,0.14021666666666668,False,1,0.010696944444444445,,True,997.1314130999999,1495.7411179803912,ok,0.07181309999987207,0.07181309999987207,0.007202488196279546,0.007202488196279546,-0.010882019608743576,0.010882019608743576,-0.0007275283341585756,0.0007275283341585756,False,False
4,2026-08-20,09:18:06.037,1,0,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1004.935,0.0006024943,0.003051758,1543.003,0.009023429,0.04394531,23.70149,0.003078766,1497.912,0.0008050053,6.891023,2.394567e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,5,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,2026-08-20 09:18:06.037,127761.06046527778,7665662.9861,True,2,0.0,,True,1005.9185888475337,1540.680324892243,ok,0.9835888475337242,0.9835888475337242,0.09787586734801,0.09787586734801,-2.3226751077568224,2.3226751077568224,-0.150529526368829,0.150529526368829,False,False
5,2026-08-20,09:24:02.749,2,0,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1004.939,0.0007044451,0.002929688,1542.997,0.007206327,0.04016113,23.73992,0.00429098,1497.922,0.0009035594,6.891049,1.927731e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,6,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,2026-08-20 09:24:02.749,127761.15955194445,5.9452,False,2,0.09908666666666667,,True,1005.9065501337996,1540.7476265752161,ok,0.9675501337995911,0.9675501337995911,0.09627948898386779,0.09627948898386779,-2.2493734247839257,2.2493734247839257,-0.1457795073343581,0.1457795073343581,False,False
6,2026-08-20,09:26:07.117,3,0,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1004.94,0.000712341,0.003051758,1542.991,0.007771788,0.03881836,23.75398,0.003282262,1497.925,0.0008760545,6.891068,2.086574e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,7,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,2026-08-20 09:26:07.117,127761.19409861111,2.0728,False,2,0.13363333333333333,,True,1005.9021456484702,1540.7722188788484,ok,0.9621456484701412,0.9621456484701412,0.09574160133641224,0.09574160133641224,-2.218781121151551,2.218781121151551,-0.1437974117251203,0.1437974117251203,False,False
7,2026-08-20,11:32:24.579,1,1,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1005.29,0.001352826,0.004943848,1541.424,0.01041913,0.04553223,23.72909,0.001413905,1498.006,0.0004556416,6.895253,2.809287e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,8,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,2026-08-20 11:32:24.579,0.0,,False,1,0.0,,True,1005.9099427773713,1540.7286726414472,ok,0.6199427773713069,0.6199427773713069,0.06166805373288373,0.06166805373288373,-0.6953273585527313,0.6953273585527313,-0.04510941561521887,0.04510941561521887,False,False
8,2026-08-20,11:42:02.944,2,1,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1005.355,0.004100476,0.01470947,1541.047,0.0244965,0.09643555,23.61622,0.008507211,1497.996,0.0008300083,6.896232,6.335228e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,9,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,2026-08-20 11:42:02.944,0.16065694444444445,9.639416666666667,False,1,0.16065694444444445,,True,1005.9453007996095,1540.5305553436795,ok,0.5903007996095084,0.5903007996095084,0.05871565761442559,0.05871565761442559,-0.5164446563205729,0.5164446563205729,-0.03351258308932647,0.03351258308932647,False,False
9,2026-08-20,11:52:10.626,3,1,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1005.407,0.004100963,0.0144043,1540.782,0.02505425,0.09265137,23.54464,0.008219684,1497.994,0.0008296818,6.896921,6.495976e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,10,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,2026-08-20 11:52:10.626,0.3294575,10.128033333333333,False,1,0.3294575,,True,1005.9677241564282,1540.4043660817467,ok,0.5607241564281367,0.5607241564281367,0.055770862588796044,0.055770862588796044,-0.3776339182531956,0.3776339182531956,-0.02450923740368174,0.02450923740368174,False,False
10,2026-08-20,11:52:25.555,4,1,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,11,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,2026-08-20 11:52:25.555,0.3336044444444445,0.24881666666666666,False,1,0.3336044444444445,N < 1; Rho_M ausserhalb 500..2000; C_M ausserhalb 1000..2200,False,,,skipped,,,,,,,,,False,False
11,2026-08-20,11:54:25.557,5,1,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1005.423,0.003187256,0.01092529,1540.691,0.01515166,0.06555176,23.51149,0.005927483,1497.991,0.0003783404,6.897154,3.918599e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,12,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,2026-08-20 11:54:25.557,0.36693833333333337,2.000033333333333,False,1,0.36693833333333337,,True,1005.9781088139723,1540.3457820622418,ok,0.5551088139723106,0.5551088139723106,0.05521146959760326,0.05521146959760326,-0.34521793775820697,0.34521793775820697,-0.022406695291801337,0.022406695291801337,False,False
12,2026-08-20,11:56:25.559,6,1,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1005.436,0.003810688,0.01293945,1540.62,0.02488237,0.1016846,23.48755,0.008073735,1497.989,0.001009231,6.897338,6.460313e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,13,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,2026-08-20 11:56:25.559,0.40027222222222225,2.000033333333333,False,1,0.40027222222222225,,True,1005.985608319613,1540.303417931757,ok,0.5496083196129575,0.5496083196129575,0.05466368019575164,0.05466368019575164,-0.3165820682429512,0.3165820682429512,-0.02054900418292319,0.02054900418292319,False,False
13,2026-08-20,12:06:08.289,7,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.0446,0.03992499,0.1965332,1572.356,0.1521285,0.6082764,24.34576,0.0293769,1496.648,0.01245824,6.814262,0.0003936504,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,14,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:06:08.289,0.5621416666666667,9.712166666666667,False,2,0.0,,True,999.9290847696684,1569.7041037228544,ok,0.884484769668461,0.884484769668461,0.08853306145375903,0.08853306145375903,-2.6518962771456245,2.6518962771456245,-0.16865749722999274,0.16865749722999274,False,False
14,2026-08-20,12:08:08.291,8,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.0505,0.04014613,0.1531982,1571.906,0.1086098,0.4274902,24.34135,0.01313539,1496.635,0.009172156,6.815417,0.0002764152,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,15,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:08:08.291,0.5954755555555555,2.000033333333333,False,2,0.033333888888888885,,True,999.9306112848102,1569.6988133983302,ok,0.8801112848101411,0.8801112848101411,0.08809477446937278,0.08809477446937278,-2.2071866016697186,2.2071866016697186,-0.14041466866782865,0.14041466866782865,False,False
15,2026-08-20,12:10:08.293,9,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.053,0.08086706,0.3322754,1571.665,0.1730756,1.010498,24.29788,0.008551191,1496.625,0.01765049,6.816027,0.000443982,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,16,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:10:08.293,0.6288094444444444,2.000033333333333,False,2,0.06666777777777777,,True,999.9456583604732,1569.6465776838725,ok,0.8926583604732059,0.8926583604732059,0.08935045092434594,0.08935045092434594,-2.0184223161274986,2.0184223161274986,-0.12842573424537027,0.12842573424537027,False,False
16,2026-08-20,12:12:08.294,10,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.2921,0.06010251,0.2545776,1571.253,0.08578891,0.3741455,24.24398,0.0163429,1496.669,0.01277461,6.817075,0.0002167475,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,17,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:12:08.294,0.6621430555555556,2.0000166666666668,False,2,0.10000138888888889,,True,999.9643157596291,1569.5815865498787,ok,0.6722157596291254,0.6722157596291254,0.06726919582663822,0.06726919582663822,-1.6714134501212357,1.6714134501212357,-0.10637455903799298,0.10637455903799298,False,False
17,2026-08-20,12:14:08.296,11,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.4417,0.0439833,0.2298584,1570.984,0.06117566,0.2178955,24.16846,0.0183495,1496.688,0.01092934,6.817746,0.0001529526,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,18,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:14:08.296,0.6954769444444445,2.000033333333333,False,2,0.1333352777777778,,True,999.9904568772007,1569.4901136265896,ok,0.5487568772007307,0.5487568772007307,0.054906341930773025,0.054906341930773025,-1.4938863734103052,1.4938863734103052,-0.09509239899389843,0.09509239899389843,False,False
18,2026-08-20,12:16:08.298,12,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.497,0.0747264,0.3393555,1570.849,0.03224536,0.1621094,24.1036,0.01423024,1496.687,0.01634002,6.818077,7.983372e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,19,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:16:08.298,0.7288108333333333,2.000033333333333,False,2,0.16666916666666667,,True,1000.0129080447266,1569.4111686776969,ok,0.5159080447266433,0.5159080447266433,0.05161676770682087,0.05161676770682087,-1.4378313223030545,1.4378313223030545,-0.09153211558227778,0.09153211558227778,False,False
19,2026-08-20,12:18:08.300,13,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.5633,0.01306258,0.04284668,1570.704,0.0494593,0.2075195,24.03886,0.0207684,1496.689,0.00212438,6.818432,0.0001221448,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,20,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:18:08.300,0.7621447222222222,2.000033333333333,False,2,0.20000305555555556,,True,1000.0353176657637,1569.3320169179185,ok,0.4720176657637012,0.4720176657637012,0.04722238859346888,0.04722238859346888,-1.3719830820814423,1.3719830820814423,-0.08734828981663269,0.08734828981663269,False,False
20,2026-08-20,12:20:08.302,14,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.6129,0.009706391,0.03479004,1570.538,0.03119711,0.130127,23.94936,0.01781276,1496.681,0.0009501228,6.818836,7.606436e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,21,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:20:08.302,0.7954786111111111,2.000033333333333,False,2,0.23333694444444444,,True,1000.0662978967598,1569.2220142640322,ok,0.45339789675983866,0.45339789675983866,0.04535734750520313,0.04535734750520313,-1.3159857359678426,1.3159857359678426,-0.08379203406525933,0.08379203406525933,False,False
21,2026-08-20,12:22:08.304,15,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.6426,0.007244701,0.02783203,1570.443,0.02649933,0.09753418,23.89672,0.01020618,1496.679,0.000754301,6.819066,6.589015e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,22,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:22:08.304,0.8288125,2.000033333333333,False,2,0.26667083333333336,,True,1000.0845191108845,1569.1570023953655,ok,0.4419191108844416,0.4419191108844416,0.044207710924328514,0.044207710924328514,-1.285997604634531,1.285997604634531,-0.08188756959880307,0.08188756959880307,False,False
22,2026-08-20,12:24:08.306,16,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.6674,0.007222514,0.02850342,1570.347,0.03095584,0.1275635,23.85612,0.01159485,1496.677,0.001201592,6.819304,7.697795e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,23,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:24:08.306,0.8621463888888888,2.000033333333333,False,2,0.30000472222222224,,True,1000.0985727029541,1569.1067021960316,ok,0.43117270295408616,0.43117270295408616,0.04313161587084726,0.04313161587084726,-1.2402978039683603,1.2402978039683603,-0.07898240350498077,0.07898240350498077,False,False
23,2026-08-20,12:26:08.308,17,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.6983,0.007676615,0.03082275,1570.217,0.03773323,0.1420898,23.80157,0.01671878,1496.672,0.002357753,6.819623,9.30431e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,24,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:26:08.308,0.8954802777777777,2.000033333333333,False,2,0.3333386111111111,,True,1000.117455048485,1569.038902698306,ok,0.4191550484849813,0.4191550484849813,0.041928154572732725,0.041928154572732725,-1.1780973016941516,1.1780973016941516,-0.07502767462676506,0.07502767462676506,False,False
24,2026-08-20,12:28:08.310,18,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.7319,0.009771835,0.03417969,1570.082,0.0286753,0.1235352,23.7352,0.01390105,1496.666,0.0006920407,6.819954,7.05682e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,25,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:28:08.310,0.9288141666666667,2.000033333333333,False,2,0.3666725,,True,1000.1404288490028,1568.956078397798,ok,0.40852884900277786,0.40852884900277786,0.04086384049591474,0.04086384049591474,-1.1259216022021974,1.1259216022021974,-0.07171100631700747,0.07171100631700747,False,False
25,2026-08-20,12:30:08.312,19,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.7532,0.006247028,0.02679443,1570.002,0.02168832,0.0994873,23.69327,0.007533138,1496.664,0.0006807474,6.820149,5.427905e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,26,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:30:08.312,0.9621480555555556,2.000033333333333,False,2,0.40000638888888884,,True,1000.1549428032404,1568.9035646573955,ok,0.40174280324038136,0.40174280324038136,0.04018419778405124,0.04018419778405124,-1.098435342604489,1.098435342604489,-0.06996394543475035,0.06996394543475035,False,False
26,2026-08-20,12:32:08.314,20,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.7723,0.00495548,0.01947021,1569.93,0.0206334,0.09436035,23.66834,0.007561989,1496.664,0.00101814,6.820327,5.14959e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,27,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:32:08.314,0.9954819444444445,2.000033333333333,False,2,0.4333402777777778,,True,1000.1635722524784,1568.8722728649725,ok,0.3912722524784158,0.3912722524784158,0.039136136546133134,0.039136136546133134,-1.0577271350275623,1.0577271350275623,-0.06737415904069367,0.06737415904069367,False,False
27,2026-08-20,12:34:08.316,21,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.7943,0.00692005,0.02514648,1569.84,0.02849143,0.1147461,23.63219,0.01081243,1496.662,0.0009888647,6.82055,7.086881e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,28,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:34:08.316,1.0288158333333333,2.000033333333333,False,2,0.46667416666666667,,True,1000.1760854708021,1568.826806460583,ok,0.38178547080212866,0.38178547080212866,0.038186402023109016,0.038186402023109016,-1.0131935394169886,1.0131935394169886,-0.06454119779193986,0.06454119779193986,False,False
28,2026-08-20,12:36:08.318,22,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.8218,0.005795586,0.02185059,1569.718,0.03243058,0.142334,23.5817,0.0111766,1496.658,0.0009195374,6.820851,8.087698e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,29,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:36:08.318,1.0621497222222223,2.000033333333333,False,2,0.5000080555555556,,True,1000.1935624342584,1568.7631235405315,ok,0.37176243425835764,0.37176243425835764,0.03718286941316519,0.03718286941316519,-0.9548764594685508,0.9548764594685508,-0.06083108300144043,0.06083108300144043,False,False
29,2026-08-20,12:38:08.320,23,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.8414,0.004286509,0.0166626,1569.636,0.02060358,0.08862305,23.55308,0.004808293,1496.657,0.0005371023,6.821056,5.21467e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,30,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:38:08.320,1.095483611111111,2.000033333333333,False,2,0.5333419444444444,,True,1000.2034691598558,1568.7269317104353,ok,0.36206915985576416,0.36206915985576416,0.03621265931334351,0.03621265931334351,-0.9090682895646296,0.9090682895646296,-0.05791586645340892,0.05791586645340892,False,False
30,2026-08-20,12:40:08.322,24,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.8548,0.004230333,0.01507568,1569.584,0.01587295,0.0736084,23.5359,0.002980403,1496.658,0.0006875752,6.821184,4.044098e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,31,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:40:08.322,1.1288175,2.000033333333333,False,2,0.5666758333333333,,True,1000.2094159635728,1568.7051740430325,ok,0.3546159635728827,0.3546159635728827,0.03546674612882618,0.03546674612882618,-0.8788259569676029,0.8788259569676029,-0.05599101143790985,0.05599101143790985,False,False
31,2026-08-20,12:42:08.324,25,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.8683,0.003168878,0.01544189,1569.543,0.01757186,0.08532715,23.52662,0.002112462,1496.66,0.0005494,6.821287,4.495537e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,32,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:42:08.324,1.1621513888888888,2.000033333333333,False,2,0.6000097222222222,,True,1000.2126282065365,1568.6934112357774,ok,0.3443282065364883,0.3443282065364883,0.03443735605344107,0.03443735605344107,-0.8495887642225171,0.8495887642225171,-0.054129690248850594,0.054129690248850594,False,False
32,2026-08-20,12:44:08.326,26,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.8849,0.006518508,0.02429199,1569.457,0.02954062,0.1210938,23.50247,0.00981019,1496.657,0.000999218,6.821502,7.385007e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,33,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,2026-08-20 12:44:08.326,1.1954852777777778,2.000033333333333,False,2,0.633343611111111,,True,1000.2209876526342,1568.6627667952712,ok,0.33608765263420537,0.33608765263420537,0.03361263407760287,0.03361263407760287,-0.7942332047289256,0.7942332047289256,-0.05060560466001461,0.05060560466001461,False,False
