Al_wt_pct,IPA_wt_pct,PG_wt_pct,MG_wt_pct,Water_wt_pct,N,T_Min_C,T_Max_C,Rho_Bias,Rho_MAE,Rho_RMSE,Rho_MAPE_pct,C_Bias,C_MAE,C_RMSE,C_MAPE_pct
0.0,0.0,0.0,0.0,100.0,98,21.93058,24.64603,0.037995499999975875,0.037995499999975875,0.05214339158911632,0.0038092335849249574,-0.011203440158826142,0.01166844446621855,0.0596513818773492,0.0007828324799142799
1.532703949875111,4.761356420134626,5.68003048135134,0.0,88.02590914863892,16,23.7044,23.73244,0.23167903966100312,0.23167903966100312,0.23269552474996055,0.023082514865801144,-2.6709739878816237,2.6709739878816237,2.6746566841843262,0.17074228814416545
1.57385429979916,4.889190293608771,3.14770859959832,0.0,90.38924680699375,10,23.18358,23.24759,-0.0849758596966808,0.0849758596966808,0.08660440504689651,0.008483653797364047,-0.13115495392046342,0.13115495392046342,0.1428048475497416,0.008462795507909389
1.589921868890453,4.607389397203206,4.928729356395875,0.0,88.87395937751047,9,22.59798,22.6501,0.303842927701794,0.303842927701794,0.3042338464468862,0.030268079380480737,-0.7459437252292547,0.7459437252292547,0.7479806393890752,0.0479356079710142
1.6305750752904056,3.2611501505808116,4.606517997992255,0.0,90.50175677613652,19,22.97371,23.15854,0.2982402690104867,0.2982402690104867,0.2987937809589202,0.029653333207920636,-1.6707692625049109,1.6707692625049109,1.6719706331262887,0.10821145685203368
1.6383814362411273,3.2767628724822546,4.901812416675675,0.0,90.18304327460095,18,24.47732,24.51627,0.11131526021373223,0.11131526021373223,0.1121485957944,0.01106747350568883,-1.7992008702090188,1.7992008702090188,1.800631582992547,0.11623373298588126
1.651719427451446,4.07035101265071,4.417800083150205,0.0,89.86012947674764,8,24.51971,24.65285,-0.15397782526653714,0.18965182618745757,0.2201668557238091,0.018881756753805354,-0.46109215559536665,0.46109215559536665,0.4657887382149784,0.029723436281503042
1.6654457548897517,3.3308915097795033,3.3308915097795033,0.0,91.67277122555124,10,24.09981,24.21254,-0.10749881507756527,0.10749881507756527,0.10878400458651634,0.010700236655587397,0.10968051044055756,0.1115287732134675,0.12375323200389099,0.007249569141416929
1.713456683121679,3.426913366243358,3.426913366243358,0.0,91.4327165843916,10,23.94018,24.0712,-0.06935366242717009,0.06935366242717009,0.07037061561991516,0.006901738007859898,-0.07778161046180684,0.07778161046180684,0.08979175706720456,0.005052236989934272
1.7148803329864724,4.2259991521177795,4.586734497244383,0.0,89.47238601765137,10,24.408,24.52681,-0.2344980403525369,0.2344980403525369,0.23504008743685043,0.023338657719306592,-0.6025005186111457,0.6025005186111457,0.6058128060363617,0.03878774551510881
1.7210690771119292,3.442138154223859,3.442138154223859,0.0,91.39465461444036,6,24.88628,25.02151,0.1188463500573107,0.1188463500573107,0.12441597431766899,0.011832279114161374,0.5785573446322209,0.5785573446322209,0.5790671572697994,0.037550735003829515
1.7380011077369697,4.964762505013463,3.4760022154739394,0.0,89.82123417177561,12,22.44478,22.53954,-0.25683347490994873,0.25683347490994873,0.26471127403363726,0.02559920168284392,-0.20554358948648618,0.21810924380664196,0.2921699981554715,0.014063136210571486
1.742789679168972,5.050380680002806,5.402616834082745,0.0,87.8042128067455,15,22.7458,22.96848,0.4202932643628477,0.4202932643628477,0.4257297358075224,0.04184681141884386,-1.5886956228999982,1.5886956228999982,1.602235371561422,0.10163515709228071
1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,33,23.27919,24.34576,-0.10493176749487661,0.18300139050136227,0.205098204823392,0.018304893673529797,-0.20486309956211726,0.43491192750822405,0.5896739707445063,0.027691486585737713
1.7645232643874422,3.5290465287748845,3.5290465287748845,0.0,91.1773836780628,10,23.74935,23.88946,-0.007181340126044234,0.01907764341224265,0.023050683669693196,0.0018980718054766664,-0.31959766664567724,0.31959766664567724,0.3241358563695654,0.020742632151857093
1.7704943989233266,3.5409887978466537,5.4885009697977285,0.0,89.2000158334323,11,22.57772,22.70935,0.5506568762731376,0.5506568762731376,0.5509031243612863,0.054686227230779864,-1.6182179438364777,1.6182179438364777,1.6203324644303594,0.10438523341116257
1.7747232816008,5.5131913057971165,3.5494465632016,0.0,89.16263884940048,15,23.29329,23.33001,0.009683403698992758,0.045581597406248876,0.06145531827621442,0.004548381682937161,-0.716633500901374,0.716633500901374,0.7790275757887773,0.04599842111800094
1.7841934319740167,4.396808212037372,4.772123982517344,0.0,89.04687437347127,12,24.21927,24.39916,-0.1889906772905571,0.1889906772905571,0.18991094173585046,0.018803083757420572,-0.8577226112328541,0.8577226112328541,0.8613249765689216,0.055135764027118096
1.7902461096574924,5.114005233027089,3.580492219314985,0.0,89.51525643800043,16,22.57654,22.84065,-0.16025189026154152,0.16025189026154152,0.16778826804675906,0.015972051237413565,-0.6825938608077848,0.6825938608077848,0.7497565075633896,0.043934579430219695
1.7912564001575422,3.582512800315085,5.0604568727845605,0.0,89.5657739267428,15,22.83602,22.90019,0.4157760335326202,0.4157760335326202,0.41613917618340446,0.04130399252202391,-2.0693759591851633,2.0693759591851633,2.070513179998436,0.13358443729398153
1.8006738299034784,3.6013476598069567,3.6013476598069567,0.0,90.9966308504826,17,23.53102,24.67495,0.8297201931465064,0.8297201931465064,0.8841462435168951,0.08262915111577807,0.738115443369706,0.738115443369706,0.7839003941525189,0.04787595221617535
1.805659844172621,3.6113196883452425,3.6113196883452425,0.0,90.9717007791369,11,22.24244,22.33696,0.254735408796302,0.254735408796302,0.25530648759004565,0.025333529450578294,0.05746494692367709,0.06404852232334303,0.07891305656180689,0.004162512795549374
1.8062289259990822,3.612457851998165,3.612457851998165,0.23842301630055268,90.73043235370405,83,25.08747,25.81736,0.3923814017216295,0.3923814017216295,0.4120782732315175,0.03904045136515098,-1.0819229579782264,1.0819229579782264,1.2052908574590997,0.06999223434937336
1.8102724108964359,3.6205448217928717,3.6205448217928717,0.0,90.94863794551782,18,22.69697,22.81611,0.18535948811815692,0.18535948811815692,0.18901819933801622,0.01843513064993199,-1.0558666664744072,1.0558666664744072,1.0829709472931723,0.0685258211562474
