Model,N,Bias_ME,MAE,RMSE,MAPE_pct,R2,Weighting
Density - physics,6,2.1642764294225003,2.1642764294225003,2.1809681323991104,0.21525824575212663,-3.0320669717675104,One equal weight per phase mean
Density - hybrid,6,1.3642397144762792,1.3642397144762792,1.3887399551561816,0.13568585034867184,-0.634823826655333,One equal weight per phase mean
Sound velocity - physics,6,-5.250492500279013,5.250492500279013,5.313113501013605,0.3392159179221317,0.1622504466891862,One equal weight per phase mean
Sound velocity - hybrid,6,-1.7429294107076885,1.8757600288522174,2.2081966880755877,0.12138596669884556,0.8552923382347102,One equal weight per phase mean
