Phase_ID,Source_File,Source_Path,ProbeNr,Phase,N_Total,N_Selected,N_Excluded,Selection_Method,Start_UTC,End_UTC,N_Extrapolated,N_Training_Overlap,Temperature_Mean_C,Temperature_Min_C,Temperature_Max_C,Al_wt_pct,Al_Min_wt_pct,Al_Max_wt_pct,IPA_wt_pct,IPA_Min_wt_pct,IPA_Max_wt_pct,PG_wt_pct,PG_Min_wt_pct,PG_Max_wt_pct,MG_wt_pct,MG_Min_wt_pct,MG_Max_wt_pct,Water_wt_pct,Water_Min_wt_pct,Water_Max_wt_pct,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,Rho_Mean_Measured,Rho_SD_Measured,Rho_Min_Measured,Rho_Max_Measured,Rho_Mean_Physics,Rho_SD_Physics,Rho_Min_Physics,Rho_Max_Physics,Rho_Mean_Hybrid,Rho_SD_Hybrid,Rho_Min_Hybrid,Rho_Max_Hybrid,Rho_Mean_Error,Rho_SD_Error,Rho_RMSE_Within_Phase,C_Mean_Measured,C_SD_Measured,C_Min_Measured,C_Max_Measured,C_Mean_Physics,C_SD_Physics,C_Min_Physics,C_Max_Physics,C_Mean_Hybrid,C_SD_Hybrid,C_Min_Hybrid,C_Max_Hybrid,C_Mean_Error,C_SD_Error,C_RMSE_Within_Phase
F1-P8-S1,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,8,1,41,17,24,automatic low-noise fallback,2026-02-09 09:51:05.602000+00:00,2026-02-09 11:11:05.683000+00:00,17,0,23.983738823529414,23.77457,24.14234,1.8216144306626316,1.8195275392174264,1.822931014174239,3.4484272117187023,3.378643943309618,3.559039341201941,3.6432288613252632,3.6390550784348528,3.645862028348478,0.0,0.0,0.0,91.08672949629342,90.98237804114578,91.15256301416767,90.96,909.66,0.0,0.0,0.0,1004.0398235294117,0.5854554034354439,1002.911,1004.617,1006.1978244742835,0.06143706808264479,1006.0621570065209,1006.2758512958039,1005.4110262789036,0.06394242937278137,1005.2708781547503,1005.4925090120825,1.3712027494917653,0.5805338334569432,1.482360223987917,1543.1812352941179,0.2986941431907538,1542.955,1543.899,1539.7088987539976,0.2532809518809172,1539.3909198514662,1540.2845521516604,1541.9183954368084,0.22493053931445772,1541.6465562345259,1542.4459948606238,-1.2628398573090447,0.24790675758203554,1.2855376708924053
F1-P8-S2,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,8,2,16,8,8,automatic low-noise fallback,2026-02-09 12:05:30.287000+00:00,2026-02-09 12:35:30.317000+00:00,8,0,24.3324475,24.25479,24.3821,2.400794916529086,2.40001646566654,2.401417877200889,4.294328503377241,4.269494699789744,4.325360792730311,4.801589833058172,4.80003293133308,4.802835754401778,0.0,0.0,0.0,88.5032867470355,88.47458981027007,88.52625166860759,123.38,909.66,0.0,0.0,0.0,1007.346375,0.05496216230930575,1007.246,1007.4,1009.6019595475689,0.020580378638928302,1009.5722411606281,1009.6300340486571,1008.6970068034123,0.020734208644545636,1008.6670472995777,1008.7252751932774,1.3506318034122842,0.03535123976143377,1.3510365519749292,1557.735375,0.1568674941288853,1557.548,1558.002,1552.344797089171,0.10833517042369344,1552.2004484979066,1552.5050929431143,1558.1338668544336,0.11505348881938461,1557.9810652640424,1558.3046346087967,0.39849185443361534,0.045765566563742734,0.4007847729735743
F1-P8-S3,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,8,3,16,8,8,automatic low-noise fallback,2026-02-09 12:45:52.630000+00:00,2026-02-09 13:15:52.662000+00:00,0,0,24.4716575,24.38992,24.54244,2.190468208142901,2.1897229853116884,2.1910191989236263,3.8001328857948433,3.7759347533180088,3.832861202538551,4.380936416285802,4.379445970623377,4.382038397847253,0.0,0.0,0.0,89.62846248977647,89.59796984152639,89.65100764991112,123.38,1009.68,0.0,0.0,0.0,1006.025125,0.6747148471762012,1004.794,1006.472,1008.5721151448681,0.01920341029486265,1008.5393839486392,1008.5929451069777,1007.7762015274789,0.019209030251198158,1007.7434630722765,1007.7970409917986,1.751076527478844,0.656166007643983,1.8555332403318405,1552.095875,0.13677451464779541,1551.957,1552.305,1546.5410930627202,0.09294702937010098,1546.4398200903897,1546.6989647194648,1551.4531981197538,0.10617230122930003,1551.3364282192356,1551.6322687995055,-0.6426768802461709,0.03665018922155902,0.643590634042075
F1-P8-S4,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,8,4,16,8,8,automatic low-noise fallback,2026-02-09 13:27:16.667000+00:00,2026-02-09 13:57:16.697000+00:00,8,0,24.72082875,24.62472,24.86566,2.013906258967466,2.0134132127884934,2.0145090432109103,3.387997067377257,3.359080034702033,3.4116496970250965,4.027812517934932,4.026826425576987,4.029018086421821,0.0,0.0,0.0,90.57028415572034,90.54811066460942,90.59739283566523,123.38,1109.74,0.0,0.0,0.0,1005.30475,0.25520901797770734,1005.036,1005.665,1007.6822871341526,0.008518503015077892,1007.6694586260614,1007.6930186465843,1006.9114228363713,0.009108696331640437,1006.8997238033554,1006.927836781595,1.6066728363713452,0.25868528263964313,1.6247925772713578,1547.852125,0.05483856177122533,1547.784,1547.926,1541.9382267537694,0.0317704894208389,1541.890525963581,1541.984302568612,1544.4870112403498,0.29012972277051136,1544.231271471116,1544.857726967403,-3.3651137596501144,0.2765794128156158,3.3750444094160863
F1-P8-S5,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,8,5,3,3,0,automatic low-noise fallback,2026-02-09 14:10:24.164000+00:00,2026-02-09 14:14:24.168000+00:00,3,0,24.894046666666664,24.87333,24.91519,1.8631697042166608,1.8630759180559648,1.8632634935247314,3.0686640929318494,3.0637847076002216,3.073543314521436,3.7263394084333217,3.7261518361119297,3.726526987049463,0.0,0.0,0.0,91.34182679441818,91.33722893131069,91.3464248118256,123.38,1209.74,0.0,0.0,0.0,1005.0376666666667,0.004163331998943042,1005.033,1005.041,1006.8999455139316,0.0025429974361502006,1006.8973393463856,1006.9024202435563,1006.1238414637966,0.0025883643392031024,1006.1211896995628,1006.1263613893753,1.0861747971298807,0.001755712597706834,1.0861757431180068,1544.0403333333334,0.008736894948068712,1544.033,1544.05,1538.3318563200382,0.005776091848531253,1538.3264659592087,1538.3379531536743,1540.958086013331,0.0006332046073737632,1540.9573797593375,1540.958603006271,-3.0822473200023524,0.008777705478580816,3.0822556524517335
F1-P8-S6,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,8,6,6,5,1,automatic low-noise fallback,2026-02-09 14:24:49.608000+00:00,2026-02-09 14:34:49.618000+00:00,5,0,24.961686000000004,24.90776,25.02151,1.7323353188815385,1.7321731696830642,1.7324974832588431,2.8100634567128795,2.8009654804908166,2.819160581350648,3.464670637763077,3.4643463393661285,3.4649949665176862,0.0,0.0,0.0,91.99293058664249,91.98431990960016,92.00154206973265,123.38,1310.38,0.0,0.0,0.0,1004.4432,0.007120393247568826,1004.432,1004.45,1006.2284669578088,0.001384011512305051,1006.2269500804879,1006.2306730601484,1005.4628795729735,0.0013824397026528034,1005.4613254694941,1005.4650673238419,1.019679572973405,0.006753927596732909,1.0196974668839827,1540.7458000000001,0.06214257799614946,1540.677,1540.842,1535.2829166460808,0.017227493672914977,1535.2648090572131,1535.3111222594864,1538.2426094985285,0.023484861702170245,1538.2160133893026,1538.2792829969542,-2.5031905014714084,0.038750874779583167,2.50343044458871
