Model,N,Bias_ME,MAE,RMSE,MAPE_pct,R2
Density - physics,49,2.2171445307423885,2.2171445307423885,2.2686092047018858,0.22057121996881726,-2.260064590644454
Density - hybrid,49,1.414988129300336,1.414988129300336,1.4939329230232434,0.1407757806266741,-0.41373829268242646
Sound velocity - physics,49,-4.864155790739595,4.864155790739595,4.973732068741111,0.3141877174608015,0.23792709895879038
Sound velocity - hybrid,49,-1.4715380066391677,1.6016577958419809,1.9360022836022257,0.10362216680940445,0.8845368301420116
