Model,N,Bias_ME,MAE,RMSE,MAPE_pct,R2,Weighting
Density - physics,9,0.8867390126053655,0.8867390126053655,0.8957313534375524,0.08826114629181454,0.779193502202288,One equal weight per phase mean
Density - hybrid,9,-0.5993417845246035,0.5993417845246035,0.6093371753257657,0.05967422579947893,0.8978186474241227,One equal weight per phase mean
Sound velocity - physics,9,-5.042588043591751,5.042588043591751,5.41955125709885,0.32103523956570434,0.8352563642436204,One equal weight per phase mean
Sound velocity - hybrid,9,-0.7012045722692872,1.121780905051057,1.3849658349667369,0.07131624457133862,0.989241292254132,One equal weight per phase mean
