Model,N,Bias_ME,MAE,RMSE,MAPE_pct,R2
Density - physics,82,0.907452777720305,0.907452777720305,0.9168383837626265,0.09030491875581143,0.7041921634758737
Density - hybrid,82,-0.5625413010478918,0.5625413010478918,0.5739517853571062,0.055990363287191064,0.8840755821478891
Sound velocity - physics,82,-4.912746137859225,4.912746137859225,5.2809265973628925,0.3131345096814139,0.857319453628337
Sound velocity - hybrid,82,-0.6096717088146723,0.9570705379671254,1.2404863227342577,0.060888500829764554,0.9921272137167509
