Phase_ID,Source_File,Source_Path,ProbeNr,Phase,N_Total,N_Selected,N_Excluded,Selection_Method,Start_UTC,End_UTC,N_Extrapolated,N_Training_Overlap,Temperature_Mean_C,Temperature_Min_C,Temperature_Max_C,Al_wt_pct,Al_Min_wt_pct,Al_Max_wt_pct,IPA_wt_pct,IPA_Min_wt_pct,IPA_Max_wt_pct,PG_wt_pct,PG_Min_wt_pct,PG_Max_wt_pct,MG_wt_pct,MG_Min_wt_pct,MG_Max_wt_pct,Water_wt_pct,Water_Min_wt_pct,Water_Max_wt_pct,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,Rho_Mean_Measured,Rho_SD_Measured,Rho_Min_Measured,Rho_Max_Measured,Rho_Mean_Physics,Rho_SD_Physics,Rho_Min_Physics,Rho_Max_Physics,Rho_Mean_Hybrid,Rho_SD_Hybrid,Rho_Min_Hybrid,Rho_Max_Hybrid,Rho_Mean_Error,Rho_SD_Error,Rho_RMSE_Within_Phase,C_Mean_Measured,C_SD_Measured,C_Min_Measured,C_Max_Measured,C_Mean_Physics,C_SD_Physics,C_Min_Physics,C_Max_Physics,C_Mean_Hybrid,C_SD_Hybrid,C_Min_Hybrid,C_Max_Hybrid,C_Mean_Error,C_SD_Error,C_RMSE_Within_Phase
F1-P9-S1,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,9,1,14,14,0,quality flags,2026-07-09 09:08:25.839000+00:00,2026-07-09 09:34:25.865000+00:00,0,0,22.500477142857143,22.3999,22.58609,1.8187181234169982,1.8181273048901148,1.8193091782598783,3.6049402535504305,3.5736133721831425,3.6362546097802295,3.6374362468339965,3.6362546097802295,3.6386183565197565,0.0,0.0,0.0,90.93890537619858,90.90936347554943,90.96845909303723,90.96,909.63,0.0,0.0,0.0,1005.540142857143,0.0010994504121680498,1005.539,1005.543,1006.3787789405177,0.018331795644151053,1006.3540211891356,1006.4083214206076,1005.1250772282128,0.018120761842193408,1005.1004012869873,1005.1539073129042,-0.41506562893011634,0.018956607749716074,0.4154674009193946,1540.3323571428573,0.04267877718468608,1540.252,1540.4,1538.3851309112413,0.06869080570040641,1538.2726893103854,1538.4698182183572,1540.8542825331572,0.056233953244709506,1540.7711586098048,1540.9315397686014,0.5219253903002254,0.09845363225077035,0.5304779591963947
F1-P9-S2,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,9,2,15,14,1,quality flags,2026-07-09 09:53:08.224000+00:00,2026-07-09 10:21:08.252000+00:00,0,0,22.864837857142856,22.83602,22.90019,1.7938803976108393,1.7932298365560302,1.794468052859508,3.441271579436272,3.4096400149034785,3.476289158253644,5.067869896372661,5.066032004175495,5.069530074134869,0.0,0.0,0.0,89.69697812658022,89.66444900101483,89.72636185810215,90.96,909.63,0.0,15.01,0.0,1006.6257857142857,0.011826818100137446,1006.602,1006.639,1007.8312619883733,0.03146806608880544,1007.7782321920137,1007.8760769030195,1006.2689814615953,0.05382089436821342,1006.2147331414373,1006.3900075474805,-0.35680425269029165,0.06036125889480682,0.3615141873139817,1549.109,0.043923009564831306,1549.07,1549.199,1544.9998257633883,0.15532751060195474,1544.7777336048055,1545.2615442278131,1549.1800582226374,0.10817226949853838,1549.0370511717988,1549.3655167766442,0.07105822263752413,0.11245538427412506,0.12958465764036542
F1-P9-S3,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,9,3,19,18,1,quality flags,2026-07-09 10:38:16.054000+00:00,2026-07-09 11:14:16.091000+00:00,18,0,23.071789444444445,22.98405,23.15854,1.6345615480571904,1.6339375053101761,1.6351858901961978,3.0246404698805187,2.9875994643142287,3.0616637131018063,4.6177801341716815,4.61601715852634,4.619543955625735,0.0,0.0,0.0,90.7230178478906,90.68838162306166,90.75767068986383,90.96,1009.71,0.0,15.01,0.0,1005.7567777777778,0.0015924659219083922,1005.754,1005.759,1006.96869065737,0.02451812452784048,1006.9302760173664,1007.0075424670061,1005.67027190036,0.023946117638304447,1005.6328024474032,1005.7082479747595,-0.08650587741760142,0.025051527896332023,0.08986645856466863,1543.9871666666668,0.034435361442073445,1543.953,1544.052,1539.549312285268,0.10976284496902565,1539.3758312335933,1539.7212135837613,1542.4579723473196,0.10467877433970553,1542.2922715473337,1542.6214685977657,-1.5291943193471096,0.1376108514832524,1.5350309349652196
F1-P9-S4,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,9,4,14,14,0,quality flags,2026-07-09 12:27:11.178000+00:00,2026-07-09 12:53:11.205000+00:00,0,0,23.365409999999997,23.15479,23.53574,1.9676897226586127,1.9671242176774542,1.9682554274286221,3.4671657923471755,3.4394128981053003,3.494908885153515,5.262915526632661,5.261402988903029,5.264428598731014,0.0,0.0,0.0,89.30222895836155,89.276563908266,89.32790307573507,111.24,1009.71,0.0,15.01,0.0,1007.5119285714287,0.021098539088015216,1007.483,1007.548,1008.9350451960494,0.009494286636490629,1008.9270804186925,1008.9565227042194,1007.3615446387004,0.010486009713186653,1007.3502355362469,1007.3841777255087,-0.15038393272838643,0.013870811158066255,0.15097676579724764,1552.714142857143,0.15709568722613174,1552.43,1552.927,1546.7151727443531,0.023829229859828847,1546.6545638645482,1546.7341963789913,1551.645646688087,0.2578120722262378,1550.7568161529914,1551.7433353506754,-1.0684961690556551,0.33541159913698004,1.1163105404115732
F1-P9-S5,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,9,5,15,12,3,quality flags,2026-07-09 13:05:37.066000+00:00,2026-07-09 13:33:37.095000+00:00,0,0,23.922870833333334,23.87049,23.98092,1.951682603721444,1.951133403631048,1.952160639866453,4.252458585570735,4.2290066239123485,4.279401777204334,5.220101807670274,5.218632880100195,5.2213803953565785,0.0,0.0,0.0,88.57575700303755,88.55083193906442,88.59745234086462,111.24,1009.71,10.33,15.01,0.0,1005.8949166666666,0.012866152446942716,1005.86,1005.903,1007.3393338426112,0.015595778605692933,1007.3097358291662,1007.3608218114866,1005.8056356194303,0.015513638175820526,1005.7761620063213,1005.8269844117999,-0.08928104723617973,0.008103547794563433,0.08961752391065135,1560.8676666666668,0.06830989989923923,1560.822,1561.047,1554.1424908328283,0.08919382992498268,1554.0158824597006,1554.3056399815125,1558.9918720608882,0.0949087098931196,1558.8569753208737,1559.165054928486,-1.8757946057784427,0.04784979539315474,1.8763539660051902
