Model,N,Bias_ME,MAE,RMSE,MAPE_pct,R2
Density - physics,44,1.2277397625587076,1.2277397625587076,1.2279763294331907,0.12218754592015475,-9.871568383774244
Density - hybrid,44,0.4767518034179003,0.4767518034179003,0.47711651910208386,0.04744686621369322,-0.6411985243230178
Sound velocity - physics,44,-2.964093751070059,2.964093751070059,2.987809227248096,0.1917727482646892,-87.85392802737215
Sound velocity - hybrid,44,0.7176826292167778,0.8922746206404419,0.992651869709173,0.05772591275471467,-8.807647160060885
