SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_record,Timestamp,Phase,Phase_elapsed_min,Exclusion_reason,Used,Fit_used
430,2026-09-01,12:08:19.932,46,6,90.95,909.49,0.0,0.0,0.0,0.0,0.0,100.0,1004.229,0.01155522,0.04467773,1544.0,0.03321865,0.1766357,23.98922,0.01371457,1497.804,0.006175502,6.888441,8.784659e-05,100,0,1,0,430,2026-09-01 12:08:19.932000+00:00,1,0.0,,True,True
431,2026-09-01,12:10:19.934,47,6,90.95,909.49,0.0,0.0,0.0,0.0,0.0,100.0,1004.254,0.00798346,0.03356934,1544.002,0.02007694,0.1148682,24.03339,0.009619438,1497.82,0.003376426,6.888446,5.394283e-05,100,0,1,0,431,2026-09-01 12:10:19.934000+00:00,1,2.000033333333333,,True,True
432,2026-09-01,12:12:19.936,48,6,90.95,909.49,0.0,0.0,0.0,0.0,0.0,100.0,1004.269,0.006956404,0.02697754,1544.011,0.01551007,0.0814209,24.07062,0.00852698,1497.832,0.00328732,6.888432,4.101183e-05,100,0,1,0,432,2026-09-01 12:12:19.936000+00:00,1,4.000066666666666,,True,True
433,2026-09-01,12:14:19.939,49,6,90.95,909.49,0.0,0.0,0.0,0.0,0.0,100.0,1004.279,0.004098218,0.01977539,1544.041,0.01744394,0.08361816,24.11127,0.01069086,1497.843,0.002737907,6.888364,4.583244e-05,100,0,1,0,433,2026-09-01 12:14:19.939000+00:00,1,6.000116666666667,,True,True
434,2026-09-01,12:16:19.942,50,6,90.95,909.49,0.0,0.0,0.0,0.0,0.0,100.0,1004.283,0.00473271,0.0211792,1544.062,0.01728144,0.09216309,24.14861,0.00855979,1497.852,0.002074252,6.888317,4.516677e-05,100,0,1,0,434,2026-09-01 12:16:19.942000+00:00,1,8.000166666666667,,True,True
435,2026-09-01,12:18:19.944,51,6,90.95,909.49,0.0,0.0,0.0,0.0,0.0,100.0,1004.283,0.004903788,0.02215576,1544.087,0.014649,0.06591797,24.18376,0.008351907,1497.859,0.002487094,6.888262,3.852226e-05,100,0,1,0,435,2026-09-01 12:18:19.944000+00:00,1,10.0002,,True,True
436,2026-09-01,12:20:19.946,52,6,90.95,909.49,0.0,0.0,0.0,0.0,0.0,100.0,1004.288,0.004510963,0.0199585,1544.102,0.01524868,0.06958008,24.21793,0.008013417,1497.868,0.001589908,6.888229,4.010139e-05,100,0,1,0,436,2026-09-01 12:20:19.946000+00:00,1,12.000233333333334,,True,True
437,2026-09-01,12:22:19.948,53,6,90.95,909.49,0.0,0.0,0.0,0.0,0.0,100.0,1004.287,0.004565504,0.01898193,1544.124,0.01557702,0.08312988,24.25018,0.007752515,1497.874,0.002301145,6.88818,4.074918e-05,100,0,1,0,437,2026-09-01 12:22:19.948000+00:00,1,14.000266666666667,,True,True
448,2026-09-01,13:12:15.940,64,6,90.95,909.49,0.0,0.0,0.0,0.0,0.0,100.0,1004.275,0.01092356,0.03869629,1544.205,0.01989715,0.09155273,24.47262,0.006695489,1497.913,0.004669733,6.888024,5.406754e-05,100,0,1,0,448,2026-09-01 13:12:15.940000+00:00,1,63.93346666666666,,True,True
449,2026-09-01,13:14:15.942,65,6,90.95,909.49,0.0,0.0,0.0,0.0,0.0,100.0,1004.292,0.004686535,0.02166748,1544.197,0.01163348,0.05725098,24.50241,0.00611282,1497.925,0.002112753,6.888054,3.138773e-05,100,0,1,0,449,2026-09-01 13:14:15.942000+00:00,1,65.93350000000001,,True,True
