Model,N,Bias_ME,MAE,RMSE,MAPE_pct,R2
Density - physics,113,1.156791370576984,1.156791370576984,1.4660585859399815,0.11524156750345364,0.5523077099073992
Density - hybrid,113,-0.31568757595356806,0.5778169439745177,0.9324637374022937,0.057615859592411944,0.818890652095131
Sound velocity - physics,113,-5.409007704657947,5.409007704657947,5.892910696366244,0.3444854029472228,0.8263492354737498
Sound velocity - hybrid,113,-1.31764068672361,1.567482496351445,2.126266761309479,0.0994953767124946,0.9773925030611013
