Model,Segment,Start_min,End_min,IPA_rate_g_h,Water_rate_g_h
none,1,0.0,193.77068333333332,0.0,0.0
ipa,1,0.0,193.77068333333332,0.6965618553978459,0.0
mixed,1,0.0,193.77068333333332,0.6921994720274547,0.6025286252303151
