SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_record,Timestamp,Phase,Phase_elapsed_min,Exclusion_reason,Used,Elapsed_h,none_Loss_IPA_g,none_Loss_Water_g,none_Al_mass_g,none_Al_wt_pct,none_IPA_mass_g,none_IPA_wt_pct,none_PG_mass_g,none_PG_wt_pct,none_MG_mass_g,none_MG_wt_pct,none_Water_mass_g,none_Water_wt_pct,none_Rho_physics,none_Rho_base_prediction,none_Rho_fit_with_offset,none_Rho_residual,none_C_physics,none_C_base_prediction,none_C_fit_with_offset,none_C_residual,none_A_Rho_kg_m3,none_A_spread_Rho_kg_m3,none_A_C_m_s,none_A_spread_C_m_s,none_Calibration_distance,none_Calibration_outside_box,none_Calibration_outside_axes,none_Calibration_nearest_node,ipa_Loss_IPA_g,ipa_Loss_Water_g,ipa_Al_mass_g,ipa_Al_wt_pct,ipa_IPA_mass_g,ipa_IPA_wt_pct,ipa_PG_mass_g,ipa_PG_wt_pct,ipa_MG_mass_g,ipa_MG_wt_pct,ipa_Water_mass_g,ipa_Water_wt_pct,ipa_Rho_physics,ipa_Rho_base_prediction,ipa_Rho_fit_with_offset,ipa_Rho_residual,ipa_C_physics,ipa_C_base_prediction,ipa_C_fit_with_offset,ipa_C_residual,ipa_A_Rho_kg_m3,ipa_A_spread_Rho_kg_m3,ipa_A_C_m_s,ipa_A_spread_C_m_s,ipa_Calibration_distance,ipa_Calibration_outside_box,ipa_Calibration_outside_axes,ipa_Calibration_nearest_node,mixed_Loss_IPA_g,mixed_Loss_Water_g,mixed_Al_mass_g,mixed_Al_wt_pct,mixed_IPA_mass_g,mixed_IPA_wt_pct,mixed_PG_mass_g,mixed_PG_wt_pct,mixed_MG_mass_g,mixed_MG_wt_pct,mixed_Water_mass_g,mixed_Water_wt_pct,mixed_Rho_physics,mixed_Rho_base_prediction,mixed_Rho_fit_with_offset,mixed_Rho_residual,mixed_C_physics,mixed_C_base_prediction,mixed_C_fit_with_offset,mixed_C_residual,mixed_A_Rho_kg_m3,mixed_A_spread_Rho_kg_m3,mixed_A_C_m_s,mixed_A_spread_C_m_s,mixed_Calibration_distance,mixed_Calibration_outside_box,mixed_Calibration_outside_axes,mixed_Calibration_nearest_node
302,2026-08-28,10:53:56.908,23,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.051,0.00152948,0.007568359,1545.469,0.0115975,0.05285645,25.08747,0.002813718,1498.228,0.001161256,6.884825,3.063132e-05,100,1,1,1,302,2026-08-28 10:53:56.908000+00:00,2,0.0,,True,0.0,0.0,0.0,18.106,1.8062289259990825,36.212,3.612457851998165,36.212,3.612457851998165,2.39,0.23842301630055268,909.5,90.73043235370405,1006.1942833567139,1004.841406808321,1005.2562861937589,-0.20528619375886592,1542.8660762148959,1545.453368155958,1544.797889856932,0.6711101430680628,-1.3528765483928331,0.12003928211211314,2.5872919410621384,0.3720086848585634,0.24082969509223703,True,"PG,MG",0,0.0,0.0,18.106,1.8062289259990825,36.212,3.612457851998165,36.212,3.612457851998165,2.39,0.23842301630055268,909.5,90.73043235370405,1006.1942833567139,1004.841406808321,1005.0628710219937,-0.011871021993670183,1542.8660762148959,1545.453368155958,1545.6629717674357,-0.1939717674356416,-1.3528765483928331,0.12003928211211314,2.5872919410621384,0.3720086848585634,0.24082969509223703,True,"PG,MG",0,0.0,0.0,18.106,1.8062289259990825,36.212,3.612457851998165,36.212,3.612457851998165,2.39,0.23842301630055268,909.5,90.73043235370405,1006.1942833567139,1004.841406808321,1005.055006196204,-0.004006196203931722,1542.8660762148959,1545.453368155958,1545.6179304250759,-0.14893042507583232,-1.3528765483928331,0.12003928211211314,2.5872919410621384,0.3720086848585634,0.24082969509223703,True,"PG,MG",0
303,2026-08-28,10:55:56.910,24,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.051,0.002276278,0.01049805,1545.493,0.01100849,0.05480957,25.10681,0.006021285,1498.233,0.001464985,6.884765,2.836717e-05,100,0,1,0,303,2026-08-28 10:55:56.910000+00:00,2,2.000033333333333,,True,0.033333888888888885,0.0,0.0,18.106,1.8062289259990825,36.212,3.612457851998165,36.212,3.612457851998165,2.39,0.23842301630055268,909.5,90.73043235370405,1006.1879919798876,1004.8351154314947,1005.2499948169326,-0.19899481693255439,1542.8977968278978,1545.48508876896,1544.8296104699339,0.6633895300660697,-1.3528765483928331,0.12003928211211314,2.5872919410621384,0.3720086848585634,0.24082969509223703,True,"PG,MG",0,0.02321911549207008,0.0,18.106,1.8062707647587808,36.188780884507935,3.6102251697751067,36.212,3.6125415295175616,2.39,0.238428539035319,909.5,90.73253399691323,1006.1920730321268,1004.8393894984202,1005.0608537120929,-0.009853712092876776,1542.8790035451943,1545.4661403435334,1545.675743955011,-0.1827439550111194,-1.3526835337066017,0.11996136421834161,2.5871367983391282,0.3715048848230738,0.2406294385803322,True,"PG,MG",0,0.023073700289510723,0.0200846222458023,18.106,1.8063066949651236,36.188926299710495,3.610311491150254,36.212,3.6126133899302473,2.39,0.23843328183843174,909.4799153777542,90.73233514211596,1006.1922454676472,1004.839547045472,1005.053146433355,-0.0021464333549374714,1542.8800144535844,1545.4671608687224,1545.6317231378403,-0.13872313784031576,-1.3526984221751484,0.11996718117387521,2.587146415138095,0.37153119250900896,0.24063879238321798,True,"PG,MG",0
304,2026-08-28,10:57:56.912,25,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.049,0.002057339,0.009338379,1545.523,0.01292374,0.07592773,25.1318,0.005969288,1498.238,0.00130355,6.884694,3.348734e-05,100,1,1,1,304,2026-08-28 10:57:56.912000+00:00,2,4.000066666666666,,True,0.06666777777777777,0.0,0.0,18.106,1.8062289259990825,36.212,3.612457851998165,36.212,3.612457851998165,2.39,0.23842301630055268,909.5,90.73043235370405,1006.1798626345817,1004.8269860861889,1005.2418654716267,-0.19286547162676015,1542.9387474189625,1545.5260393600247,1544.8705610609986,0.6524389390012857,-1.3528765483928331,0.12003928211211314,2.5872919410621384,0.3720086848585634,0.24082969509223703,True,"PG,MG",0,0.04643823098414016,0.0,18.106,1.8063126054567964,36.165561769015866,3.6079923841157493,36.212,3.612625210913593,2.39,0.23843406202594405,909.5,90.73463573748792,1006.188025605479,1004.8355310812454,1005.0569952949181,-0.0079952949181461,1542.9011701754994,1545.4881576288558,1545.6977612403334,-0.1747612403335097,-1.3524945242334834,0.11988410679159599,2.5869874533565054,0.37101485964002695,0.2404388962118136,True,"PG,MG",0,0.04614740057902145,0.0401692444916046,18.106,1.806384470628292,36.16585259942098,3.608164945467022,36.212,3.612768941256584,2.39,0.23844354826033456,909.4598307555084,90.73423809438778,1006.1883705662093,1004.8358465757716,1005.0494459636545,-0.0004459636545561807,1542.9031900823231,1545.4901963368281,1545.654758605946,-0.13175860594606092,-1.3525239904377326,0.11989571111241709,2.5870062545049852,0.3710664859645193,0.24045693412529412,True,"PG,MG",0
305,2026-08-28,10:59:56.914,26,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.047,0.001772671,0.009155273,1545.552,0.01248956,0.05480957,25.15436,0.00506271,1498.242,0.00123683,6.88462,3.239745e-05,100,1,1,1,305,2026-08-28 10:59:56.914000+00:00,2,6.0001,,True,0.10000166666666666,0.0,0.0,18.106,1.8062289259990825,36.212,3.612457851998165,36.212,3.612457851998165,2.39,0.23842301630055268,909.5,90.73043235370405,1006.1725237762671,1004.8196472278743,1005.2345266133121,-0.18752661331211584,1542.975680251732,1545.5629721927942,1544.907493893768,0.6445061062318018,-1.3528765483928331,0.12003928211211314,2.5872919410621384,0.3720086848585634,0.24082969509223703,True,"PG,MG",0,0.06965734647621025,0.0,18.106,1.8063544480932643,36.14234265352379,3.605759495012902,36.212,3.6127088961865286,2.39,0.23843958527244566,909.5,90.73673757543486,1006.1847694797177,1004.8324599526026,1005.0539241662752,-0.006924166275211974,1542.9193269380453,1545.5061708357027,1545.7157744471804,-0.16377444718045808,-1.3523095271150996,0.11980753059693605,2.5868438976574146,0.37053863091258055,0.24025809247377586,True,"PG,MG",0,0.06922110086853217,0.06025386673740689,18.106,1.806462252989453,36.14277889913147,3.6060182149245934,36.212,3.612924505978906,2.39,0.23845381556637535,909.4397461332626,90.73614121054067,1006.1852870639616,1004.8329338037331,1005.046533191616,0.0004668083839760584,1542.9223541072872,1545.5092255600503,1545.673787829168,-0.12178782916816999,-1.3523532602284942,0.11982488995186526,2.5868714527630874,0.3706145861226836,0.24028414323396333,True,"PG,MG",0
306,2026-08-28,11:01:56.916,27,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.043,0.001451048,0.00793457,1545.575,0.01015994,0.04736328,25.17431,0.00439227,1498.245,0.000859249,6.884567,2.668911e-05,100,1,1,1,306,2026-08-28 11:01:56.916000+00:00,2,8.000133333333332,,True,0.13333555555555554,0.0,0.0,18.106,1.8062289259990825,36.212,3.612457851998165,36.212,3.612457851998165,2.39,0.23842301630055268,909.5,90.73043235370405,1006.1660339601613,1004.8131574117684,1005.2280367972063,-0.18503679720629407,1543.0083119652204,1545.5956039062826,1544.9401256072565,0.6348743927435407,-1.3528765483928331,0.12003928211211314,2.5872919410621384,0.3720086848585634,0.24082969509223703,True,"PG,MG",0,0.09287646196828032,0.0,18.106,1.8063962926683184,36.11912353803172,3.6035265024593777,36.212,3.6127925853366367,2.39,0.23844510877484154,909.5,90.73883951076083,1006.1823631526983,1004.8302346041813,1005.051698817854,-0.008698817853996843,1542.9331889059015,1545.5198950284557,1545.7294986399334,-0.15449863993330837,-1.3521285485169798,0.11973165583015388,2.5867061225543013,0.37007621798309764,0.2400870507441702,True,"PG,MG",0,0.0922948011580429,0.0803384889832092,18.106,1.8065400420494713,36.11970519884196,3.6038712994990867,36.212,3.6130800840989425,2.39,0.2384640837566683,909.4196615110168,90.73804449059583,1006.1830534681702,1004.8308672304113,1005.0444666182942,-0.0014666182942164596,1542.9372217916753,1545.5239637949799,1545.6885260640977,-0.11352606409764121,-1.3521862377588998,0.11975473523134178,2.586742003304698,0.37017551192411546,0.24012044166582872,True,"PG,MG",0
307,2026-08-28,11:03:56.918,28,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.04,0.002557887,0.01104736,1545.592,0.00973182,0.05578613,25.19112,0.003606149,1498.248,0.0005620472,6.884524,2.567186e-05,100,0,1,0,307,2026-08-28 11:03:56.918000+00:00,2,10.000166666666667,,True,0.16666944444444445,0.0,0.0,18.106,1.8062289259990825,36.212,3.612457851998165,36.212,3.612457851998165,2.39,0.23842301630055268,909.5,90.73043235370405,1006.1605655979173,1004.8076890495245,1005.2225684349623,-0.18256843496237707,1543.0357870182052,1545.6230789592673,1544.9676006602413,0.6243993397588383,-1.3528765483928331,0.12003928211211314,2.5872919410621384,0.3720086848585634,0.24082969509223703,True,"PG,MG",0,0.11609557746035043,0.0,18.106,1.8064381391820943,36.095904422539654,3.601293406447987,36.212,3.6128762783641886,2.39,0.2384506325331495,909.5,90.74094154347259,1006.1809789615796,1004.8290273679521,1005.0504915816248,-0.010491581624819446,1542.9418985000775,1545.5284726192037,1545.7380762306814,-0.14607623068127396,-1.3519515936274755,0.11965650210760215,2.586574119126266,0.36962763791539494,0.2399257932781247,True,"PG,MG",0,0.11536850144755365,0.1004231112290115,18.106,1.806617837809213,36.09663149855245,3.601724199166616,36.212,3.613235675618426,2.39,0.23847435283132765,909.399576888771,90.73994793457442,1006.1818421282098,1004.8298191998074,1005.0434185876903,-0.0034185876903620738,1542.9469358036836,1545.5335537029953,1545.698115972113,-0.1061159721130025,-1.3520229284024434,0.11968526399649175,2.5866178993117415,0.3697492803367614,0.23996585040684013,True,"PG,MG",0
308,2026-08-28,11:05:56.920,29,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.039,0.002327606,0.009338379,1545.612,0.0112787,0.05822754,25.20688,0.004572446,1498.252,0.0008147956,6.884476,2.926938e-05,100,1,1,1,308,2026-08-28 11:05:56.920000+00:00,2,12.0002,,True,0.2000033333333333,0.0,0.0,18.106,1.8062289259990825,36.212,3.612457851998165,36.212,3.612457851998165,2.39,0.23842301630055268,909.5,90.73043235370405,1006.1554388042482,1004.8025622558554,1005.2174416412932,-0.17844164129326145,1543.0615287426724,1545.6488206837346,1544.9933423847085,0.6186576152915677,-1.3528765483928331,0.12003928211211314,2.5872919410621384,0.3720086848585634,0.24082969509223703,True,"PG,MG",0,0.1393146929524205,0.0,18.106,1.806479987634726,36.072685307047585,3.5990602069715387,36.212,3.612959975269452,2.39,0.23845615654738733,909.5,90.74304367357689,1006.1799370425466,1004.8281583758893,1005.049622589562,-0.010622589561990026,1542.9488796446094,1545.5353275228256,1545.7449311343032,-0.13293113430313497,-1.351778666657339,0.11958208845672816,2.5864478782162714,0.36919290547811856,0.23977434119486912,True,"PG,MG",0,0.13844220173706434,0.12050773347481378,18.106,1.806695640269543,36.07355779826294,3.5995769139032934,36.212,3.613391280539086,2.39,0.2384846227904677,909.3794922665252,90.74185154249761,1006.1809731768112,1004.8291098401176,1005.0427092280005,-0.0037092280005026623,1542.9549199957285,1545.5414191294817,1545.7059813985995,-0.09398139859945331,-1.3518633366936508,0.11961649279156902,2.586499133753262,0.369335906341124,0.23982038946101963,True,"PG,MG",0
309,2026-08-28,11:07:56.922,30,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.036,0.003631212,0.0201416,1545.63,0.01147116,0.05786133,25.22342,0.003493756,1498.255,0.0008684619,6.884433,3.031245e-05,100,0,1,0,309,2026-08-28 11:07:56.922000+00:00,2,14.000233333333334,,True,0.23333722222222222,0.0,0.0,18.106,1.8062289259990825,36.212,3.612457851998165,36.212,3.612457851998165,2.39,0.23842301630055268,909.5,90.73043235370405,1006.1500582725478,1004.7971817241549,1005.2120611095928,-0.17606110959286525,1543.0885266147222,1545.6758185557844,1545.0203402567583,0.6096597432417639,-1.3528765483928331,0.12003928211211314,2.5872919410621384,0.3720086848585634,0.24082969509223703,True,"PG,MG",0,0.16253380844449059,0.0,18.106,1.8065218380263488,36.04946619155551,3.5968269040228424,36.212,3.6130436760526976,2.39,0.23846168081757282,909.5,90.74514590108053,1006.178642156296,1004.8270323854559,1005.0484965991286,-0.012496599128667185,1542.9571236662039,1545.5434510566322,1545.7530546681098,-0.12305466810971666,-1.3516097708399735,0.1195084333073297,2.586327390428221,0.36877203312927476,0.23963271446528123,True,"PG,MG",0,0.1615159020265751,0.1405923557206161,18.106,1.806773449431328,36.05048409797343,3.597429443685225,36.212,3.613546898862656,2.39,0.23849489363420265,909.3594076442794,90.74375531438659,1006.1798513637259,1004.8281438973983,1005.0417432852812,-0.005743285281255339,1542.9641654704637,1545.5505511698466,1545.7151134389644,-0.08511343896429935,-1.3517074663276225,0.11954843765209205,2.58638569938282,0.3689354029164039,0.23968407783968276,True,"PG,MG",0
310,2026-08-28,11:09:56.924,31,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.034,0.002216371,0.01092529,1545.653,0.01238933,0.06188965,25.24018,0.004482643,1498.258,0.001020968,6.884377,3.23833e-05,100,0,1,0,310,2026-08-28 11:09:56.924000+00:00,2,16.000266666666665,,True,0.2666711111111111,0.0,0.0,18.106,1.8062289259990825,36.212,3.612457851998165,36.212,3.612457851998165,2.39,0.23842301630055268,909.5,90.73043235370405,1006.1446061731043,1004.7917296247115,1005.2066090101494,-0.17260901014935826,1543.1158649045697,1545.7031568456318,1545.0476785466058,0.6053214533942537,-1.3528765483928331,0.12003928211211314,2.5872919410621384,0.3720086848585634,0.24082969509223703,True,"PG,MG",0,0.18575292393656065,0.0,18.106,1.8065636903570974,36.02624707606344,3.5945934975947065,36.212,3.613127380714195,2.39,0.23846720534372376,909.5,90.74724822599028,1006.1772764573271,1004.8258315488948,1005.0472957625675,-0.013295762567508973,1542.9657144072612,1545.551927053385,1545.7615306648627,-0.10853066486265561,-1.3514449084323583,0.11943555448354749,2.5862126461238937,0.36836503100194007,0.23950093190007157,True,"PG,MG",0,0.1845896023160858,0.1606769779664184,18.106,1.8068512652954327,36.027410397683916,3.5952817884885127,36.212,3.6137025305908654,2.39,0.23850516536264688,909.3393230220336,90.74565925026253,1006.1786588460801,1004.8271035259199,1005.0407029138029,-0.006702913802882904,1542.9737561223646,1545.5600337111005,1545.7245959802183,-0.07159598021826241,-1.351555320160121,0.11948111409808339,2.5862775887357654,0.368547781027605,0.23955693355117252,True,"PG,MG",0
311,2026-08-28,11:11:56.926,32,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.033,0.002788489,0.01153564,1545.7,0.03013474,0.1097412,25.25892,0.005132464,1498.261,0.0009367566,6.884256,7.88761e-05,100,0,1,0,311,2026-08-28 11:11:56.926000+00:00,2,18.0003,,True,0.300005,0.0,0.0,18.106,1.8062289259990825,36.212,3.612457851998165,36.212,3.612457851998165,2.39,0.23842301630055268,909.5,90.73043235370405,1006.1385099702485,1004.7856334218557,1005.2005128072935,-0.16751280729351947,1543.146410609674,1545.733702550736,1545.07822425171,0.6217757482900197,-1.3528765483928331,0.12003928211211314,2.5872919410621384,0.3720086848585634,0.24082969509223703,True,"PG,MG",0,0.20897203942863077,0.0,18.106,1.8066055446271063,36.00302796057137,3.592359987679939,36.212,3.6132110892542126,2.39,0.23847273012585793,909.5,90.74935064831288,1006.1752675248705,1004.8239834441538,1005.0454476578265,-0.012447657826442082,1542.9775220255578,1545.5636256609776,1545.7732292724552,-0.0732292724551371,-1.3512840807166588,0.1193634691966091,2.586103635419731,0.36797190689117826,0.23937901113862406,True,"PG,MG",0,0.20766330260559657,0.1807616002122207,18.106,1.806929087862724,36.00433669739441,3.593133948289256,36.212,3.613858175725448,2.39,0.23851543797591462,909.3192383997878,90.74756335014665,1006.1768231843655,1004.8254162841573,1005.0390156720403,-0.006015672040234676,1542.9865617266832,1545.5727365208097,1545.7372987899275,-0.03729878992749036,-1.351406900208209,0.11941453712790327,2.586174794126411,0.36817304961360175,0.23943897359111657,True,"PG,MG",0
