Model,IPA_rate_g_h,Prediction_model,Calibration_field,Water_rate_g_h,Total_rate_g_h,IPA_mass_fraction_in_loss,IPA_loss_g,Water_loss_g,RMSE_density_kg_m3,RMSE_sound_m_s,Weighted_SSE,Fitted_parameters_including_offsets,Normalized_Jacobian_condition,Boundary_parameters,IPA_rate_conditional_CI95_low_g_h,IPA_rate_conditional_CI95_high_g_h,Water_rate_conditional_CI95_low_g_h,Water_rate_conditional_CI95_high_g_h
none,0.0,hybrid,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\results\calibration_field\probe_3__Kennfeld_v2_14__korrigiert__20260831_135330\calibration_field.json,0.0,0.0,,0.0,0.0,0.1269188704463589,0.5215910993476559,21322.645630980714,2,,,,,,
ipa,0.6965618553978459,hybrid,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\results\calibration_field\probe_3__Kennfeld_v2_14__korrigiert__20260831_135330\calibration_field.json,0.0,0.6965618553978459,1.0,2.2495544450729184,0.0,0.03977502091823245,0.1623315995983683,2082.5302323562187,3,,,0.6053113318496173,0.7953948877894965,0.0,0.0
mixed,0.6921994720274546,hybrid,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\results\calibration_field\probe_3__Kennfeld_v2_14__korrigiert__20260831_135330\calibration_field.json,0.6025286252303151,1.2947280972577697,0.5346292194427008,2.2354660782955404,1.9458730573128677,0.039453840277231846,0.16018470901253878,2040.5472106160864,4,1.140007855015128,,0.6031736263754935,0.7901029736502834,0.12357063565797982,0.97391327289954
