Phase,Timestamp_UTC,Carried_IPA_loss_g,Carried_Water_loss_g,Added_Al_g,Before_addition_Al_mass_g,After_addition_Al_mass_g,Corrected_minus_nominal_Al_wt_pct,Added_IPA_g,Before_addition_IPA_mass_g,After_addition_IPA_mass_g,Corrected_minus_nominal_IPA_wt_pct,Added_PG_g,Before_addition_PG_mass_g,After_addition_PG_mass_g,Corrected_minus_nominal_PG_wt_pct,Added_MG_g,Before_addition_MG_mass_g,After_addition_MG_mass_g,Corrected_minus_nominal_MG_wt_pct,Added_Water_g,Before_addition_Water_mass_g,After_addition_Water_mass_g,Corrected_minus_nominal_Water_wt_pct
1,2026-09-07T09:08:25.839000+00:00,0.07692063753813369,1.9230793624618663,0.0,18.192,18.192,0.003641388968225412,0.0,36.30707936246187,36.30707936246187,-0.00042014694143999165,0.0,36.384,36.384,0.007282777936450824,0.0,0.0,0.0,0.0,0.0,907.7069206375381,907.7069206375381,-0.010504019963235578
2,2026-09-07T09:53:08.224000+00:00,0.5485589680570377,3.0263740573003988,0.0,18.192,18.192,0.0063275326578116076,0.0,35.83544103194296,35.83544103194296,-0.041549023689494646,15.009999999999998,36.384,51.394,0.017875836269545253,0.0,0.0,0.0,0.0,0.0,906.6036259426996,906.6036259426996,0.01734565476213845
3,2026-09-07T10:38:16.054000+00:00,1.0315590891188247,3.841033986924635,0.0,18.192,18.192,0.007152570978826045,0.0,35.35244091088118,35.35244091088118,-0.0785605593951515,0.0,51.394,51.394,0.02020664208914802,0.0,0.0,0.0,0.0,100.08000000000004,905.7889660130753,1005.8689660130754,0.05120134632718987
4,2026-09-07T12:27:11.178000+00:00,2.0206300851242327,6.656884356192183,4.056000000000001,18.192,22.248,0.015076152521347197,8.112000000000002,34.36336991487577,42.47536991487577,-0.1490955863252621,8.112000000000002,51.394,59.506,0.04032369345268361,0.0,0.0,0.0,0.0,0.0,1003.0531156438078,1003.0531156438078,0.09369574035123662
5,2026-09-07T13:05:37.066000+00:00,2.358659684530367,10.726279490175243,0.0,22.248,22.248,0.02241091946343321,10.329999999999998,42.137340315469636,52.467340315469635,-0.152913104387153,0.0,59.506,59.506,0.059941755375362504,0.0,0.0,0.0,0.0,0.0,998.9837205098247,998.9837205098247,0.07056042954835107
6,2026-09-07T13:45:37.732000+00:00,3.455249422791287,11.07993235189447,0.0,22.248,22.248,0.02287390346004048,0.0,51.37075057720871,51.37075057720871,-0.23601203991204933,0.0,59.506,59.506,0.06118008357124971,0.0,0.0,0.0,0.0,50.00999999999999,998.6300676481055,1048.6400676481055,0.15195805288075803
7,2026-09-07T14:18:56.831000+00:00,4.420660957859498,12.31585422943125,0.0,22.248,22.248,0.02427316952702996,0.0,50.4053390421405,50.4053390421405,-0.2995243125835847,0.0,59.506,59.506,0.06492265488472793,0.0,0.0,0.0,0.0,50.649999999999864,1047.404145770569,1098.0541457705688,0.21032848817181105
8,2026-09-07T14:49:42.895000+00:00,4.990239685093233,12.671127988251452,0.0,22.248,22.248,0.02366757921541862,0.0,49.835760314906764,49.835760314906764,-0.33163304961530704,0.0,59.506,59.506,0.06330290222908541,0.0,0.0,0.0,0.0,50.40000000000009,1097.6988720117486,1148.0988720117487,0.24466256817079568
9,2026-09-07T15:15:17.777000+00:00,5.471726569595996,13.261562794599751,0.0,22.248,22.248,0.02329582573151212,0.0,49.354273430404,49.354273430404,-0.35454910660571226,0.0,59.506,59.506,0.062308585310112186,0.0,0.0,0.0,0.0,49.61000000000013,1147.5084372054002,1197.1184372054004,0.2689446955640733
