Phase,Kind,Evidence,Method,Start_UTC,End_UTC,Duration_h,IPA_loss_g,Water_loss_g,Total_loss_g,Segment
1,pre_measurement_loss,assumed,user_entered_total_loss,2026-09-02T09:51:05.602000+00:00,2026-09-02T09:51:05.602000+00:00,0.0,0.07691819830790111,1.923081801692099,2.0,
1,insufficient_phase,assumed,constant_fallback_before_first_fit,2026-09-02T09:51:05.602000+00:00,2026-09-02T11:11:05.683000+00:00,1.3333558333333333,0.10255932840333008,2.5641523382633364,2.6667116666666666,
2,between_phases,assumed,constant_fallback_before_first_fit,2026-09-02T11:11:05.683000+00:00,2026-09-02T12:05:30.287000+00:00,0.9068344444444444,0.0697520716302131,1.7439168172586756,1.8136688888888888,
2,filtered_prefix,assumed,constant_fallback_before_first_fit,2026-09-02T12:05:30.287000+00:00,2026-09-02T12:17:30.299000+00:00,0.2000033333333333,0.020620245156713842,0.3793864215099528,0.4000066666666666,
2,measurement_window,fitted_model,mixed_phase_fit,2026-09-02T12:17:30.299000+00:00,2026-09-02T12:35:30.317000+00:00,0.300005,0.976682575594288,2.572077112300817,3.548759687895105,1.0
3,between_phases,assumed,previous_fitted_terminal_rates,2026-09-02T12:35:30.317000+00:00,2026-09-02T12:45:52.630000+00:00,0.1728647222222222,0.5627704942563995,1.4820466177297584,2.044817111986158,
3,insufficient_phase,assumed,previous_fitted_terminal_rates,2026-09-02T12:45:52.630000+00:00,2026-09-02T13:15:52.662000+00:00,0.5000088888888888,1.6278061012984384,4.286799950194407,5.914606051492846,
4,between_phases,assumed,previous_fitted_terminal_rates,2026-09-02T13:15:52.662000+00:00,2026-09-02T13:27:16.667000+00:00,0.1900013888888889,0.6185598435575804,1.6289669294394356,2.247526772997016,
4,insufficient_phase,assumed,previous_fitted_terminal_rates,2026-09-02T13:27:16.667000+00:00,2026-09-02T13:57:16.697000+00:00,0.5000083333333333,1.627804292657146,4.286795187168027,5.914599479825173,
5,between_phases,assumed,previous_fitted_terminal_rates,2026-09-02T13:57:16.697000+00:00,2026-09-02T14:10:24.164000+00:00,0.21874083333333333,0.7121226662476987,1.8753630470901292,2.587485713337828,
5,insufficient_phase,assumed,previous_fitted_terminal_rates,2026-09-02T14:10:24.164000+00:00,2026-09-02T14:14:24.168000+00:00,0.06666777777777777,0.21704057235428617,0.5715726916224037,0.7886132639766898,
6,between_phases,assumed,previous_fitted_terminal_rates,2026-09-02T14:14:24.168000+00:00,2026-09-02T14:24:49.608000+00:00,0.17373333333333335,0.5655983049168546,1.489493609474493,2.0550919143913475,
6,insufficient_phase,assumed,previous_fitted_terminal_rates,2026-09-02T14:24:49.608000+00:00,2026-09-02T14:34:49.618000+00:00,0.16666944444444445,0.5426014308857154,1.4289317290560095,1.971533159941725,
