SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_record,Timestamp,Phase,Phase_elapsed_min,Exclusion_reason,Used,Fit_used
505,2026-09-02,09:51:05.602,29,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1003.929,0.3548576,1.596619,1543.209,0.1012917,0.4604492,23.52763,0.005304439,1497.637,0.08414511,6.890426,0.0002713935,100,0,0,0,505,2026-09-02 09:51:05.602000+00:00,1,0.0,SensOK != 1; invalid/high Rho_S,False,False
506,2026-09-02,09:53:05.604,30,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1004.063,0.2891738,1.492065,1543.204,0.0364981,0.1700439,23.55634,0.004992205,1497.676,0.06918192,6.890447,9.698714e-05,100,0,1,0,506,2026-09-02 09:53:05.604000+00:00,1,2.000033333333333,invalid/high Rho_S,False,False
507,2026-09-02,09:55:05.606,31,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1004.112,0.2861418,1.163391,1543.24,0.03323476,0.1678467,23.57332,0.00528142,1497.691,0.06811795,6.890354,8.834294e-05,100,0,1,0,507,2026-09-02 09:55:05.606000+00:00,1,4.000066666666666,invalid/high Rho_S,False,False
508,2026-09-02,09:57:05.608,32,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1004.117,0.2743791,0.9459839,1543.208,0.06838103,0.5063477,23.59739,0.008917946,1497.698,0.06753185,6.890447,0.0001820053,100,0,1,0,508,2026-09-02 09:57:05.608000+00:00,1,6.0001,invalid/high Rho_S,False,False
509,2026-09-02,09:59:05.610,33,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1004.306,0.1652424,0.961792,1543.317,0.1187908,0.4781494,23.64104,0.008422258,1497.753,0.04031609,6.890169,0.0003165478,100,0,1,0,509,2026-09-02 09:59:05.610000+00:00,1,8.000133333333332,invalid/high Rho_S,False,False
510,2026-09-02,10:01:05.612,34,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1002.564,0.66148,2.753784,1545.573,2.847548,10.03589,23.67241,0.005639081,1497.338,0.1612804,6.884175,0.007562673,100,0,1,0,510,2026-09-02 10:01:05.612000+00:00,1,10.000166666666667,invalid/high Rho_S; invalid/high C_S,False,False
511,2026-09-02,10:03:05.614,35,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1003.144,0.4871319,1.983704,1543.208,0.08576621,0.5050049,23.69095,0.004471845,1497.483,0.1170752,6.890473,0.0002292494,100,0,1,0,511,2026-09-02 10:03:05.614000+00:00,1,12.0002,invalid/high Rho_S,False,False
512,2026-09-02,10:05:05.616,36,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1003.477,0.3731662,1.693481,1543.19,0.05429772,0.229126,23.70748,0.00577204,1497.566,0.0901075,6.890524,0.0001452041,100,0,1,0,512,2026-09-02 10:05:05.616000+00:00,1,14.000233333333334,invalid/high Rho_S,False,False
513,2026-09-02,10:07:05.618,37,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1003.429,0.5566572,2.311829,1543.142,0.07839199,0.4764404,23.72359,0.003444181,1497.558,0.1346805,6.890656,0.0002094503,100,0,1,0,513,2026-09-02 10:07:05.618000+00:00,1,16.000266666666665,invalid/high Rho_S,False,False
514,2026-09-02,10:09:05.620,38,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1003.958,0.6082623,2.052185,1543.128,0.0798654,0.4157715,23.7365,0.004117853,1497.688,0.1467441,6.890697,0.0002137889,100,0,1,0,514,2026-09-02 10:09:05.620000+00:00,1,18.0003,invalid/high Rho_S,False,False
