Model,N,Bias_ME,MAE,RMSE,MAPE_pct,R2
Density - physics,49,2.1145637429566104,2.1145637429566104,2.1690585128788973,0.21036911928732377,-1.9802271065523174
Density - hybrid,49,0.792566030036993,0.792566030036993,0.9206913783624626,0.07886685708476886,0.4630486018377299
Sound velocity - physics,49,-4.391770783486798,4.391770783486798,4.47164828610561,0.2836801130419088,0.38401942057825844
Sound velocity - hybrid,49,-1.3754082389902755,1.3922310079938096,1.6920873336380702,0.09004554939150662,0.9117982311697984
