Model,N,Bias_ME,MAE,RMSE,MAPE_pct,R2,Weighting
Density - physics,6,2.0426836720174606,2.0426836720174606,2.061687839753621,0.20316470621169713,-2.603088388624567,One equal weight per phase mean
Density - hybrid,6,0.717863403088927,0.717863403088927,0.7529277235326609,0.0714006920562412,0.5194532167145045,One equal weight per phase mean
Sound velocity - physics,6,-4.693744904929038,4.693744904929038,4.7389208364891315,0.30324210131360513,0.3335387159522566,One equal weight per phase mean
Sound velocity - hybrid,6,-1.665655374563092,1.6781159640993717,1.9492286585167518,0.10857661313555943,0.887243498201885,One equal weight per phase mean
