Phase,Status,Used_points,Raw_start_UTC,Raw_end_UTC
1,assumed_only,2,2026-09-01T11:54:36.679000+00:00,2026-09-01T11:56:36.681000+00:00
2,assumed_only,5,2026-09-01T13:58:42.917000+00:00,2026-09-01T14:06:42.925000+00:00
