Timestamp_UTC,Elapsed_h,Phase,Kind,Cumulative_IPA_loss_g,Cumulative_Water_loss_g,Cumulative_total_loss_g,Al_mass_g,Al_wt_pct,IPA_mass_g,IPA_wt_pct,PG_mass_g,PG_wt_pct,MG_mass_g,MG_wt_pct,Water_mass_g,Water_wt_pct
2026-09-01T11:54:36.679000+00:00,0.0,1,nominal_before_pre_measurement_loss,0.0,0.0,0.0,18.192,1.8181636467213689,36.384,3.6363272934427378,36.384,3.6363272934427378,0.0,0.0,909.61,90.90918176639315
2026-09-01T11:54:36.679000+00:00,0.0,1,after_pre_measurement_loss,0.07692226377757153,1.9230777362224285,2.0,18.192,1.8218051814094156,36.30707773622243,3.6359071208049945,36.384,3.643610362818831,0.0,0.0,907.6869222637775,90.89867733496676
2026-09-01T11:54:36.679000+00:00,0.0,1,after_addition,0.07692226377757153,1.9230777362224285,2.0,18.192,1.8218051814094156,36.30707773622243,3.6359071208049945,36.384,3.643610362818831,0.0,0.0,907.6869222637775,90.89867733496676
2026-09-01T11:54:36.679000+00:00,0.0,1,insufficient_phase_start,0.07692226377757153,1.9230777362224285,2.0,18.192,1.8218051814094156,36.30707773622243,3.6359071208049945,36.384,3.643610362818831,0.0,0.0,907.6869222637775,90.89867733496676
2026-09-01T11:56:36.681000+00:00,0.033333888888888885,1,insufficient_phase_end,0.0794863819714149,1.9871813958063629,2.066667777777778,18.192,1.8219268191637117,36.30451361802859,3.6358930858278624,36.384,3.6438536383274234,0.0,0.0,907.6228186041936,90.898326456681
2026-09-01T11:56:36.681000+00:00,0.033333888888888885,2,between_phases_start,0.0794863819714149,1.9871813958063629,2.066667777777778,18.192,1.8219268191637117,36.30451361802859,3.6358930858278624,36.384,3.6438536383274234,0.0,0.0,907.6228186041936,90.898326456681
2026-09-01T13:58:42.917000+00:00,2.0683994444444447,2,between_phases_end,0.2360282314405095,5.90077065744838,6.136798888888889,18.192,1.8293838117707166,36.14797176855949,3.635032672699407,36.384,3.6587676235414333,0.0,0.0,903.7092293425516,90.87681589198844
2026-09-01T13:58:42.917000+00:00,2.0683994444444447,2,after_addition,0.2360282314405095,5.90077065744838,6.136798888888889,18.192,1.8293838117707166,36.14797176855949,3.635032672699407,36.384,3.6587676235414333,0.0,0.0,903.7092293425516,90.87681589198844
2026-09-01T13:58:42.917000+00:00,2.0683994444444447,2,insufficient_phase_start,0.2360282314405095,5.90077065744838,6.136798888888889,18.192,1.8293838117707166,36.14797176855949,3.635032672699407,36.384,3.6587676235414333,0.0,0.0,903.7092293425516,90.87681589198844
2026-09-01T14:06:42.925000+00:00,2.201735,2,insufficient_phase_end,0.24628470421588297,6.157185295784117,6.40347,18.192,1.8298745181051308,36.13771529578412,3.6349760533362674,36.384,3.6597490362102616,0.0,0.0,903.4528147042158,90.87540039234834
