SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_record,Timestamp,Phase,Phase_elapsed_min,Exclusion_reason,Used,Fit_used
428,2026-09-01,11:54:36.679,44,7,90.96,909.61,0.0,0.0,0.0,0.0,0.0,100.0,1003.682,0.03015087,0.1056519,1544.889,0.0464481,0.2731934,24.30361,0.002922506,1497.738,0.007199551,6.886155,0.0001237687,100,0,1,0,428,2026-09-01 11:54:36.679000+00:00,1,0.0,,True,False
429,2026-09-01,11:56:36.681,45,7,90.96,909.61,0.0,0.0,0.0,0.0,0.0,100.0,1003.79,0.03317066,0.1207275,1544.873,0.0332428,0.1569824,24.31574,0.002576994,1497.767,0.0082194,6.886201,8.872463e-05,100,0,1,0,429,2026-09-01 11:56:36.681000+00:00,1,2.000033333333333,,True,False
467,2026-09-01,13:58:42.917,83,7,90.96,909.61,0.0,0.0,0.0,0.0,0.0,100.0,1004.149,0.01252973,0.04803467,1544.528,0.02265658,0.1062012,24.40643,0.008389669,1497.864,0.001808407,6.887145,6.200701e-05,100,0,1,0,467,2026-09-01 13:58:42.917000+00:00,2,0.0,,True,False
468,2026-09-01,14:00:42.919,84,7,90.96,909.61,0.0,0.0,0.0,0.0,0.0,100.0,1004.169,0.01508844,0.05267334,1544.5,0.02173183,0.1121826,24.41425,0.006194317,1497.876,0.005278389,6.887221,5.891975e-05,100,0,1,0,468,2026-09-01 14:00:42.919000+00:00,2,2.000033333333333,,True,False
469,2026-09-01,14:02:42.921,85,7,90.96,909.61,0.0,0.0,0.0,0.0,0.0,100.0,1004.205,0.003068018,0.01861572,1544.477,0.01326925,0.07397461,24.44409,0.007525119,1497.892,0.002217733,6.887292,3.599525e-05,100,0,1,0,469,2026-09-01 14:02:42.921000+00:00,2,4.000066666666666,,True,False
470,2026-09-01,14:04:42.923,86,7,90.96,909.61,0.0,0.0,0.0,0.0,0.0,100.0,1004.212,0.00216735,0.008911133,1544.48,0.01158255,0.06005859,24.47519,0.007853307,1497.9,0.001970762,6.887293,3.110845e-05,100,1,1,1,470,2026-09-01 14:04:42.923000+00:00,2,6.0001,,True,False
471,2026-09-01,14:06:42.925,87,7,90.96,909.61,0.0,0.0,0.0,0.0,0.0,100.0,1004.211,0.002784582,0.01300049,1544.492,0.01213778,0.07421875,24.50787,0.007419478,1497.907,0.001568279,6.887268,3.206455e-05,100,0,1,0,471,2026-09-01 14:06:42.925000+00:00,2,8.000133333333332,,True,False
