Model,N,Bias_ME,MAE,RMSE,MAPE_pct,R2,Weighting
Density - physics,8,-0.21923919867184338,0.21923919867184338,0.24982799704272027,0.021804360139926336,0.9487775036968303,One equal weight per phase mean
Density - hybrid,8,-0.6295038886489408,0.6295038886489408,0.6971105786664537,0.0626058495054424,0.601175459029403,One equal weight per phase mean
Sound velocity - physics,8,-1.0460923189479558,1.0460923189479558,1.0695889459264776,0.06719759473646628,0.9768465475666922,One equal weight per phase mean
Sound velocity - hybrid,8,1.2537823973588615,1.2537823973588615,1.4422773362827388,0.08043703924008734,0.9579002511790504,One equal weight per phase mean
