Phase_ID,Source_File,Source_Path,ProbeNr,Phase,N_Total,N_Selected,N_Excluded,Selection_Method,Start_UTC,End_UTC,N_Extrapolated,N_Training_Overlap,Temperature_Mean_C,Temperature_Min_C,Temperature_Max_C,Al_wt_pct,Al_Min_wt_pct,Al_Max_wt_pct,IPA_wt_pct,IPA_Min_wt_pct,IPA_Max_wt_pct,PG_wt_pct,PG_Min_wt_pct,PG_Max_wt_pct,MG_wt_pct,MG_Min_wt_pct,MG_Max_wt_pct,Water_wt_pct,Water_Min_wt_pct,Water_Max_wt_pct,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,Rho_Mean_Measured,Rho_SD_Measured,Rho_Min_Measured,Rho_Max_Measured,Rho_Mean_Physics,Rho_SD_Physics,Rho_Min_Physics,Rho_Max_Physics,Rho_Mean_Hybrid,Rho_SD_Hybrid,Rho_Min_Hybrid,Rho_Max_Hybrid,Rho_Mean_Error,Rho_SD_Error,Rho_RMSE_Within_Phase,C_Mean_Measured,C_SD_Measured,C_Min_Measured,C_Max_Measured,C_Mean_Physics,C_SD_Physics,C_Min_Physics,C_Max_Physics,C_Mean_Hybrid,C_SD_Hybrid,C_Min_Hybrid,C_Max_Hybrid,C_Mean_Error,C_SD_Error,C_RMSE_Within_Phase
F1-P11-S1,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,11,1,13,12,1,quality flags,2026-09-09 08:32:55.948000+00:00,2026-09-09 08:56:55.973000+00:00,0,0,22.53171,22.48266,22.629,1.8184420479697805,1.8181273288512831,1.818715950954865,3.619574025654435,3.605056715956521,3.6362546577025663,3.636884095939561,3.6362546577025663,3.63743190190973,0.0,0.0,0.0,90.92509983043622,90.9093633557436,90.93879543117889,91.0,910.03,0.0,0.0,0.0,1005.8318333333333,0.02807727432165579,1005.778,1005.866,1005.7973020733748,0.03239109018065634,1005.7369835481107,1005.8376428080215,1005.6262000110136,0.02604109508714713,1005.5640584951999,1005.652111726017,-0.20563332231990708,0.017071330372317714,0.20628186471172613,1539.8521666666666,0.1387134609272886,1539.698,1540.126,1539.3904144079695,0.17244018267943562,1539.1802671142634,1539.7138862692002,1540.2975977887447,0.3763979488115638,1540.0602240070646,1541.300725825569,0.445431122078124,0.27998587718733076,0.51987335155283
F1-P11-S2,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,11,2,16,8,8,automatic low-noise fallback,2026-09-09 09:10:55.025000+00:00,2026-09-09 09:40:55.055000+00:00,0,0,22.6284925,22.57654,22.70003,1.791685084841434,1.7914827140082135,1.7918636687828504,5.037737176341075,5.02827193307687,5.04846316408006,3.583370169682868,3.582965428016427,3.583727337565701,0.0,0.0,0.0,89.58720756913462,89.5770886938953,89.59613706057458,91.0,910.03,15.59,0.0,0.0,1003.362625,0.03204879092884441,1003.311,1003.402,1003.2952473117842,0.02617369155559812,1003.2536437983855,1003.3283051946653,1003.0832393139201,0.02608195574487227,1003.0417737744687,1003.116173347184,-0.2793856860798627,0.005999052330775826,0.27944203627331116,1553.1011250000001,0.20411302016287983,1552.849,1553.431,1551.9931366528826,0.1331460810520635,1551.824659868963,1552.2044849959466,1553.7889052605253,0.1290579258239674,1553.6259507762777,1553.994107776082,0.687780260525443,0.07513442199265795,0.6913618592789131
F1-P11-S3,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,11,3,12,5,7,quality flags,2026-09-09 09:54:37.139000+00:00,2026-09-09 10:16:37.162000+00:00,0,0,22.51537,22.48331,22.53954,1.740237383685022,1.7401475371654582,1.7403272349932464,4.842481215961697,4.837568077311588,4.847394092764137,3.480474767370044,3.4802950743309164,3.4806544699864927,0.0,0.0,0.0,89.93680663298322,89.93216329573947,89.94145021770866,91.0,940.59,15.59,0.0,0.0,1003.3116,0.0035777087640072136,1003.308,1003.317,1003.2129781431225,0.0013800570220281092,1003.2113096746469,1003.2149416066075,1003.0374983183143,0.0012309028370920678,1003.0360840040072,1003.0389534743995,-0.2741016816856927,0.003780656780976382,0.27412253937879905,1550.6556,0.021184900282952647,1550.621,1550.675,1549.558967226405,0.00787688165981646,1549.547279982115,1549.5684630505602,1550.8274895747227,0.006394408251869971,1550.8205011174061,1550.8344229321624,0.17188957472253605,0.020432591922561107,0.17285837714277383
F1-P11-S4,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,11,4,22,21,1,quality flags,2026-09-09 11:34:46.697000+00:00,2026-09-09 12:16:46.740000+00:00,0,0,22.406585714285715,22.03037,22.73313,2.2531865724833278,2.2526205057568034,2.2537528194481053,5.701210286180993,5.677512113952533,5.7249009152041195,4.5063731449666555,4.505241011513607,4.507505638896211,0.0,0.0,0.0,87.53922999636903,87.51723756752548,87.56122942770315,121.05,940.59,15.59,0.0,0.0,1006.425380952381,0.031719830060182856,1006.371,1006.468,1006.1422642564638,0.04937976337520594,1006.0691874361154,1006.2327554505541,1005.4118342142406,0.11210581137164342,1005.2536294644724,1005.5554217239326,-1.0135467381403596,0.0822352857408698,1.0167190379027522,1562.7168095238096,0.1894380159966877,1562.402,1563.022,1561.6000362380105,0.16026137518676578,1561.2982144579198,1561.8310163942635,1565.2163195382211,0.8801204699267495,1564.344538438898,1566.3732659212149,2.4995100144118774,0.7183178882772501,2.595950769283654
F1-P11-S5,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,11,5,16,16,0,quality flags,2026-09-09 12:28:54.781000+00:00,2026-09-09 12:58:54.811000+00:00,0,0,23.137911875,22.8885,23.36556,2.1931890483277705,2.19278678885595,2.1935913996352063,5.49176064981634,5.474422648929004,5.509094693351108,4.386378096655541,4.3855735777119,4.387182799270413,0.0,0.0,0.0,87.92867220520034,87.91254494008103,87.94480315216539,121.05,970.62,15.59,0.0,0.0,1006.0221875,0.031581046531099354,1005.974,1006.072,1005.7164075724692,0.0332316142518821,1005.6677577095757,1005.7726216031389,1005.1668750693098,0.1049059432989576,1004.986932675745,1005.2697022832106,-0.8553124306902262,0.07864311201526164,0.8586952584991678,1561.4685,0.1613055072421868,1561.206,1561.713,1560.286622390613,0.10335781119911526,1560.108406659569,1560.4344864216544,1563.0620636157166,0.22042477846135383,1562.8061370474177,1563.4351384731815,1.5935636157165476,0.09672746732574959,1.596313389528321
F1-P11-S6,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,11,6,17,16,1,quality flags,2026-09-09 13:11:41.810000+00:00,2026-09-09 13:43:41.844000+00:00,0,0,23.718388750000003,23.53341,23.90106,2.1367154123923626,2.13633360053037,2.137097308911882,5.296995499406176,5.280069170519742,5.313918076121329,4.273430824784725,4.27266720106074,4.274194617823764,0.0,0.0,0.0,88.29285826341675,88.27708112228756,88.3086389027446,121.05,1000.4,15.59,0.0,0.0,1005.6683125,0.01936222697247664,1005.635,1005.693,1005.3546342975061,0.021197055169374052,1005.3215440359862,1005.3885607939321,1004.8519505854846,0.024356906473680606,1004.8138430835023,1004.8908163181785,-0.8163619145153831,0.0057245622374045586,0.816380730983241,1560.1025,0.09790335370488852,1559.971,1560.269,1558.949251739059,0.059173187295393066,1558.8533984650485,1559.0406792177757,1561.6397010808153,0.06180487864803111,1561.5396818893319,1561.73525405575,1.5372010808153789,0.03709695868936881,1.537620673535079
F1-P11-S7,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,11,7,13,13,0,quality flags,2026-09-09 13:55:09.859000+00:00,2026-09-09 14:19:09.883000+00:00,0,0,24.10937923076923,24.00972,24.19027,2.0829242885223995,2.082634017503827,2.08321460899003,5.1189700691703015,5.105745438236502,5.132192447608618,4.165848577044799,4.165268035007654,4.16642921798006,0.0,0.0,0.0,88.63225706526251,88.6199054998799,88.64461073479342,121.05,1030.18,15.59,0.0,0.0,1005.3800769230767,0.001656378502491316,1005.378,1005.383,1005.0584046834072,0.004971753339273849,1005.0539827661597,1005.0691589829493,1004.5739481989442,0.007703208953089814,1004.5650486132561,1004.5891596204774,-0.8061287241326471,0.008335198544834038,0.8061685004604217,1558.6652307692307,0.00840787176949113,1558.648,1558.676,1557.5052854535716,0.009109199591393077,1557.4842094011412,1557.5160557572935,1560.1883797640771,0.010604958499225735,1560.1631499259993,1560.199164117265,1.5231489948463814,0.0034548758185765673,1.5231526116912177
F1-P11-S8,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,11,8,9,8,1,quality flags,2026-09-09 14:30:01.304000+00:00,2026-09-09 14:46:01.320000+00:00,0,0,24.312359999999998,24.27065,24.35264,2.0303790770340364,2.030218181094937,2.0305399875459798,4.9537705252286655,4.9462379725068235,4.961302395765642,4.060758154068073,4.060436362189874,4.0610799750919595,0.0,0.0,0.0,88.95509224366923,88.94804306094954,88.96214206485524,121.05,1060.69,15.59,0.0,0.0,1005.148625,0.0009161253812912408,1005.147,1005.15,1004.8194892812884,0.0004332887001027678,1004.8188391916752,1004.8203402461166,1004.3630643883723,0.0021298805967598865,1004.3599495324356,1004.3666487153617,-0.7855606116277016,0.0029023856161938914,0.7855653030798081,1557.0231250000002,0.006621124203214186,1557.017,1557.034,1555.9326042996122,0.005957922660951962,1555.9248963651007,1555.9393947885803,1558.5948595157552,0.0038589602509317717,1558.5903320577615,1558.600113720733,1.5717345157553098,0.004492973696528625,1.5717401348434277
