Phase_ID,Source_File,Source_Path,ProbeNr,Phase,N_Total,N_Selected,N_Excluded,Selection_Method,Start_UTC,End_UTC,N_Extrapolated,N_Training_Overlap,Temperature_Mean_C,Temperature_Min_C,Temperature_Max_C,Al_wt_pct,Al_Min_wt_pct,Al_Max_wt_pct,IPA_wt_pct,IPA_Min_wt_pct,IPA_Max_wt_pct,PG_wt_pct,PG_Min_wt_pct,PG_Max_wt_pct,MG_wt_pct,MG_Min_wt_pct,MG_Max_wt_pct,Water_wt_pct,Water_Min_wt_pct,Water_Max_wt_pct,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,Rho_Mean_Measured,Rho_SD_Measured,Rho_Min_Measured,Rho_Max_Measured,Rho_Mean_Physics,Rho_SD_Physics,Rho_Min_Physics,Rho_Max_Physics,Rho_Mean_Hybrid,Rho_SD_Hybrid,Rho_Min_Hybrid,Rho_Max_Hybrid,Rho_Mean_Error,Rho_SD_Error,Rho_RMSE_Within_Phase,C_Mean_Measured,C_SD_Measured,C_Min_Measured,C_Max_Measured,C_Mean_Physics,C_SD_Physics,C_Min_Physics,C_Max_Physics,C_Mean_Hybrid,C_SD_Hybrid,C_Min_Hybrid,C_Max_Hybrid,C_Mean_Error,C_SD_Error,C_RMSE_Within_Phase
F1-P3-S1,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,3,1,17,8,9,automatic low-noise fallback,2026-08-21 09:35:18.227000+00:00,2026-08-21 10:07:18.260000+00:00,0,8,22.65525875,22.55394,22.821,1.8117665752782373,1.8110866650791182,1.8122956076617913,3.5459518266238086,3.5177874285689574,3.582148592804534,3.6235331505564745,3.6221733301582364,3.6245912153235826,0.0,0.0,0.0,91.0187484475415,90.98459141195812,91.04532574844568,90.5,909.3,0.0,0.0,0.0,1005.072375,0.05330756445919305,1004.976,1005.135,1006.3682442139661,0.06685093204218247,1006.2511709333355,1006.4507035945587,1005.1777856671513,0.097025409606725,1005.0639815577416,1005.3767398566073,0.10541066715128977,0.12076684359342757,0.15450877142369449,1540.779125,0.3172977139623259,1540.412,1541.354,1538.0920192058306,0.3510556165193676,1537.662187768087,1538.7087514168854,1540.5440622429987,0.2969900889578173,1540.1356741069574,1540.8945810151838,-0.2350627570012307,0.10170912807602378,0.25358657914262045
F1-P3-S2,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,3,2,17,12,5,quality flags,2026-08-21 11:05:46.001000+00:00,2026-08-21 11:37:46.033000+00:00,0,12,22.22952083333333,22.18006,22.27102,2.1979744181735676,2.197062547153651,2.198934800524535,4.038426126393946,3.9964967021216524,4.078237589856575,4.395948836347135,4.394125094307302,4.39786960104907,0.0,0.0,0.0,89.36765061908535,89.33057476868248,89.40669889630475,111.82,909.3,0.0,0.0,0.0,1007.3034166666666,0.02802096076910216,1007.258,1007.348,1008.9924379626074,0.03794044733835463,1008.9375663563276,1009.0581558157747,1007.4671377974483,0.03941889238207116,1007.4102778159106,1007.5356460651733,0.16372113078170022,0.01190641124806213,0.16411751198713043,1549.6681666666666,0.15967514369858432,1549.418,1549.919,1545.226134712829,0.18837513034997355,1544.9003498580435,1545.4991203874354,1548.8290625705301,0.20762868809973656,1548.4674282670906,1549.1281850916698,-0.8391040961366419,0.05377441808583953,0.8406821029321303
F1-P3-S3,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,3,3,11,10,1,quality flags,2026-08-21 11:50:07.275000+00:00,2026-08-21 12:10:07.295000+00:00,0,10,22.294864999999998,22.24244,22.33696,1.8127739710906912,1.81233320950281,1.8132148597287288,3.231557515854439,3.2080222558097646,3.2550859937818215,3.6255479421813823,3.62466641900562,3.6264297194574575,0.0,0.0,0.0,91.3301205708735,91.30791437770976,91.35233316500405,111.82,1126.73,0.0,0.0,0.0,1005.5289999999999,0.0048989794855820125,1005.52,1005.537,1007.0092158044281,0.018791259188470712,1006.9825656360216,1007.0392856543575,1005.755406990995,0.02175096744093548,1005.7236503780458,1005.7893611421835,0.22640699099480344,0.017148376613992,0.22699071723259254,1538.695,0.015972198067632327,1538.673,1538.719,1534.6765695187855,0.07383045643920283,1534.5543264068506,1534.778167757382,1537.2155907212766,0.0909431746636634,1537.071304386155,1537.3480006808131,-1.4794092787232558,0.09835905835647986,1.4823491045962014
F1-P3-S4,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,3,4,11,5,6,automatic low-noise fallback,2026-08-21 12:23:55.698000+00:00,2026-08-21 12:43:55.719000+00:00,5,5,22.61696,22.5917,22.65433,1.7789928014559666,1.778690924033245,1.7792569775798073,3.0779839413530015,3.0635912566292354,3.0944306455717294,5.514845865647436,5.513910051036344,5.515664806906317,0.0,0.0,0.0,89.6281773915436,89.6129683793587,89.64148695888464,111.82,1126.73,0.0,24.6,0.0,1006.9568000000002,0.02482337607982728,1006.927,1006.979,1008.8602087871702,0.034530156886242974,1008.8177711129873,1008.8934701078358,1007.1823337460577,0.03584047561847689,1007.1382923703335,1007.2170540148383,0.22553374605768112,0.011153494238820826,0.2257542711839555,1550.1662,0.10554477722746812,1550.07,1550.293,1543.7310215285124,0.16226768299124567,1543.5733608997655,1543.9305728976533,1548.9705445223287,0.18652092898299502,1548.7859738957966,1549.1997791097924,-1.1956554776711528,0.08965365645594124,1.1983414554198517
F1-P3-S5,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,3,5,15,6,9,automatic low-noise fallback,2026-08-21 12:57:07.473000+00:00,2026-08-21 13:25:07.501000+00:00,0,6,22.801328333333334,22.7458,22.86873,1.752767827531738,1.7524320606252688,1.753073131075789,4.5067572009982575,4.490123836897499,4.525050251691962,5.4335489155392755,5.432508044134709,5.434495351065207,0.0,0.0,0.0,88.30692605593076,88.29000964354807,88.32230768096153,111.82,1126.73,20.08,24.6,0.0,1004.4253333333332,0.03972740447935912,1004.364,1004.472,1006.268880574476,0.03824459669667516,1006.2135309078437,1006.317191657714,1004.8295217433155,0.05547476035214501,1004.7491472307917,1004.8996845503401,0.4041884099822444,0.016136317942973447,0.4044567402429324,1562.9535000000003,0.15933204323053263,1562.763,1563.191,1556.2201375705026,0.16214943127915996,1556.0144019143902,1556.454029772388,1561.7244004813092,0.17067870556167347,1561.507521517331,1561.970277527333,-1.2290995186908351,0.014417736351090534,1.2291699853074094
F1-P3-S6,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,3,6,9,6,3,quality flags,2026-08-21 13:31:24.112000+00:00,2026-08-21 13:47:24.128000+00:00,0,6,22.605334999999997,22.59798,22.61215,1.599286734889131,1.5990961310837344,1.5994773629282835,4.045513349682301,4.034075991240557,4.0569492541398455,4.9577602734928305,4.95716940510522,4.958351217004652,0.0,0.0,0.0,89.39743964193575,89.3867852096712,89.40809542882651,111.82,1250.11,20.08,24.6,0.0,1003.8523333333333,0.008334666560003662,1003.842,1003.862,1005.5921084807069,0.013945748518992723,1005.5747039463907,1005.6097034608478,1004.1083557198253,0.01389934756731177,1004.0910083800884,1004.1258832397393,0.25602238649209613,0.00565284230532408,0.256074386146322,1556.09,0.03483676219162728,1556.054,1556.129,1549.7449476831762,0.07046951153218067,1549.6552282429968,1549.8338744669197,1554.8316699215995,0.06794030151181515,1554.7453703333533,1554.9172347528015,-1.2583300784004525,0.03461139624617826,1.2587266886947226
