Model,N,Bias_ME,MAE,RMSE,MAPE_pct,R2
Density - physics,47,1.6266882037074069,1.6266882037074069,1.6389590966615377,0.16174282426301417,-0.7422542659548312
Density - hybrid,47,0.21619026224836604,0.21619026224836604,0.23786404413609694,0.021501364722734968,0.9633028021536146
Sound velocity - physics,47,-4.8006790520620495,4.8006790520620495,5.003772617724985,0.30965002155615073,0.6164600291308103
Sound velocity - hybrid,47,-1.0137595525060765,1.0137595525060765,1.0985543331820442,0.06544614914873789,0.9815133345687694
