Model,IPA_rate_g_h,Water_rate_g_h,Total_rate_g_h,IPA_mass_fraction_in_loss,IPA_loss_g,Water_loss_g,RMSE_density_kg_m3,RMSE_sound_m_s,Weighted_SSE,Fitted_parameters_including_offsets,Normalized_Jacobian_condition,Boundary_parameters,IPA_rate_conditional_CI95_low_g_h,IPA_rate_conditional_CI95_high_g_h,Water_rate_conditional_CI95_low_g_h,Water_rate_conditional_CI95_high_g_h
none,0.0,0.0,0.0,,0.0,0.0,0.046452585766759126,0.28285913743024144,910.8964462199847,2,,,,,,
ipa,1.8187896236131302,0.0,1.8187896236131302,1.0,0.9700378048318858,0.0,0.010207704818605511,0.0593950415657492,41.70237294850307,3,,,1.5489744856563754,2.053991010024829,0.0,0.0
mixed,1.8187896232827705,6.120744498912891e-16,1.8187896232827712,0.9999999999999997,0.9700378046556909,3.2644531729114485e-16,0.010207704813107532,0.05939504158912716,41.702372948305765,4,1.0352629335788384,Water segment 1,1.5483763526662708,2.0535638406530707,1.5029223329811775e-23,2.0998877626951162
