SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_record,Timestamp,Phase,Phase_elapsed_min,Exclusion_reason,Used,Elapsed_h,none_Loss_IPA_g,none_Loss_Water_g,none_Al_mass_g,none_Al_wt_pct,none_IPA_mass_g,none_IPA_wt_pct,none_PG_mass_g,none_PG_wt_pct,none_MG_mass_g,none_MG_wt_pct,none_Water_mass_g,none_Water_wt_pct,none_Rho_physics,none_Rho_fit_with_offset,none_Rho_residual,none_C_physics,none_C_fit_with_offset,none_C_residual,ipa_Loss_IPA_g,ipa_Loss_Water_g,ipa_Al_mass_g,ipa_Al_wt_pct,ipa_IPA_mass_g,ipa_IPA_wt_pct,ipa_PG_mass_g,ipa_PG_wt_pct,ipa_MG_mass_g,ipa_MG_wt_pct,ipa_Water_mass_g,ipa_Water_wt_pct,ipa_Rho_physics,ipa_Rho_fit_with_offset,ipa_Rho_residual,ipa_C_physics,ipa_C_fit_with_offset,ipa_C_residual,mixed_Loss_IPA_g,mixed_Loss_Water_g,mixed_Al_mass_g,mixed_Al_wt_pct,mixed_IPA_mass_g,mixed_IPA_wt_pct,mixed_PG_mass_g,mixed_PG_wt_pct,mixed_MG_mass_g,mixed_MG_wt_pct,mixed_Water_mass_g,mixed_Water_wt_pct,mixed_Rho_physics,mixed_Rho_fit_with_offset,mixed_Rho_residual,mixed_C_physics,mixed_C_fit_with_offset,mixed_C_residual
87,2026-08-21,09:35:18.227,22,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.825,0.00965446,0.03692627,1542.249,0.04472328,0.1865234,23.03746,0.005983352,1497.754,0.0009524195,6.892856,0.0001180896,100,0,1,0,87,2026-08-21 09:35:18.227000+00:00,1,0.0,,True,0.0,0.0,0.0,18.1,1.810362072414483,36.2,3.620724144828966,36.2,3.620724144828966,0.0,0.0,909.3,90.94818963792758,1006.1139350674122,1004.9195003910169,-0.0945003910168225,1539.434523844535,1541.6776830319543,0.5713169680457213,0.0,0.0,18.1,1.810362072414483,36.2,3.620724144828966,36.2,3.620724144828966,0.0,0.0,909.3,90.94818963792758,1006.1139350674122,1004.8352673775382,-0.010267377538184519,1539.434523844535,1542.081164879607,0.1678351203929651,0.0,0.0,18.1,1.810362072414483,36.2,3.620724144828966,36.2,3.620724144828966,0.0,0.0,909.3,90.94818963792758,1006.1139350674122,1004.8352673775536,-0.010267377553532242,1539.434523844535,1542.0811648795336,0.1678351204664068
88,2026-08-21,09:37:18.230,23,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.849,0.005016189,0.01696777,1542.107,0.03962072,0.1787109,23.01571,0.005516862,1497.755,0.0004018463,6.893231,0.0001046074,100,0,1,0,88,2026-08-21 09:37:18.230000+00:00,1,2.00005,,True,0.033334166666666665,0.0,0.0,18.1,1.810362072414483,36.2,3.620724144828966,36.2,3.620724144828966,0.0,0.0,909.3,90.94818963792758,1006.1207453523598,1004.9263106759645,-0.07731067596444063,1539.3951608504572,1541.6383200378764,0.46867996212358776,0.06062783644512402,0.0,18.1,1.8104718593636508,36.13937216355488,3.614879354540672,36.2,3.6209437187273017,0.0,0.0,909.3,90.95370506736838,1006.1312716488837,1004.8526039590098,-0.003603959009751634,1539.3448849740575,1541.9915260091295,0.11547399087044141,0.06062783643411175,2.0402991725084547e-17,18.1,1.810471859363631,36.13937216356589,3.6148793545417335,36.2,3.620943718727262,0.0,0.0,909.3,90.95370506736738,1006.1312716488817,1004.8526039590231,-0.003603959023052994,1539.3448849740666,1541.9915260090652,0.11547399093478816
89,2026-08-21,09:39:18.232,24,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.877,0.01009229,0.0345459,1541.944,0.05414213,0.2143555,22.98473,0.01242856,1497.754,0.0009254171,6.893659,0.0001416167,100,0,1,0,89,2026-08-21 09:39:18.232000+00:00,1,4.000083333333333,,True,0.06666805555555555,0.0,0.0,18.1,1.810362072414483,36.2,3.620724144828966,36.2,3.620724144828966,0.0,0.0,909.3,90.94818963792758,1006.1304456998206,1004.9360110234253,-0.05901102342534159,1539.3390272804265,1541.5821864678458,0.3618135321542013,0.12125516767090813,0.0,18.1,1.8105816587143526,36.07874483232909,3.6090339040248773,36.2,3.6211633174287052,0.0,0.0,909.3,90.95922111983208,1006.151499021506,1004.872831331632,0.004168668367924511,1539.2384462843434,1541.8850873194153,0.05891268058462629,0.1212551676488837,4.080581342948857e-17,18.1,1.8105816587143126,36.07874483235112,3.609033904027001,36.2,3.6211633174286253,0.0,0.0,909.3,90.95922111983006,1006.1514990215019,1004.8728313316433,0.004168668356669514,1539.2384462843615,1541.88508731936,0.05891268063987809
90,2026-08-21,09:41:18.234,25,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.915,0.009593928,0.03015137,1541.721,0.05724676,0.2277832,22.92246,0.01789627,1497.749,0.001646254,6.894238,0.0001485698,100,0,1,0,90,2026-08-21 09:41:18.234000+00:00,1,6.000116666666667,,True,0.10000194444444445,0.0,0.0,18.1,1.810362072414483,36.2,3.620724144828966,36.2,3.620724144828966,0.0,0.0,909.3,90.94818963792758,1006.1499434493353,1004.95550877294,-0.0405087729400293,1539.225963501901,1541.4691226893203,0.25187731067967434,0.18188249889669228,0.0,18.1,1.8106914713838234,36.01811750110331,3.603187744450176,36.2,3.6213829427676467,0.0,0.0,909.3,90.96473784139836,1006.1815202276642,1004.9028525377903,0.012147462209668447,1539.0750000595006,1541.7216410945725,-0.000641094572529255,0.18188249886365565,6.12086351338926e-17,18.1,1.8106914713837634,36.018117501136345,3.6031877444533613,36.2,3.621382942767527,0.0,0.0,909.3,90.96473784139535,1006.1815202276586,1004.9028525378,0.012147462200005066,1539.0750000595283,1541.7216410945268,-0.0006410945268271462
91,2026-08-21,09:43:18.236,26,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.942,0.005729487,0.02191162,1541.556,0.03550616,0.1622314,22.87024,0.0105288,1497.745,0.0008337185,6.894664,9.243513e-05,100,0,1,0,91,2026-08-21 09:43:18.236000+00:00,1,8.00015,,True,0.13333583333333335,0.0,0.0,18.1,1.810362072414483,36.2,3.620724144828966,36.2,3.620724144828966,0.0,0.0,909.3,90.94818963792758,1006.1662943685909,1004.9718596921956,-0.029859692195600473,1539.1309060624462,1541.3740652498655,0.18193475013458738,0.24250983012247643,0.0,18.1,1.810801297374487,35.957490169877524,3.5973408756875456,36.2,3.621602594748974,0.0,0.0,909.3,90.97025523218899,1006.2083944080074,1004.9297267181335,0.012273281866555408,1538.9295197457177,1541.5761607807897,-0.02016078078963801,0.24250983007842764,8.161145683829662e-17,18.1,1.8108012973744074,35.95749016992158,3.597340875691794,36.2,3.621602594748815,0.0,0.0,909.3,90.970255232185,1006.208394408,1004.9297267181414,0.012273281858597329,1538.9295197457545,1541.576160780753,-0.02016078075303085
92,2026-08-21,09:45:18.238,27,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.962,0.004276433,0.01800537,1541.441,0.02920001,0.1343994,22.83823,0.005514212,1497.744,0.0002025274,6.894963,7.68127e-05,100,0,1,0,92,2026-08-21 09:45:18.238000+00:00,1,10.000183333333332,,True,0.1666697222222222,0.0,0.0,18.1,1.810362072414483,36.2,3.620724144828966,36.2,3.620724144828966,0.0,0.0,909.3,90.94818963792758,1006.1763172074734,1004.9818825310781,-0.019882531078110333,1539.0725287180344,1541.3156879054536,0.12531209454641612,0.3031371613482605,0.0,18.1,1.8109111366887678,35.89686283865174,3.5914932976079337,36.2,3.6218222733775356,0.0,0.0,909.3,90.97577329232577,1006.228944112698,1004.950276422824,0.011723577175985156,1538.8207205024257,1541.4673615374977,-0.026361537497678,0.3031371612931995,1.0201427854270063e-16,18.1,1.810911136688668,35.8968628387068,3.591493297613245,36.2,3.621822273377336,0.0,0.0,909.3,90.97577329232075,1006.2289441126882,1004.9502764228296,0.011723577170414501,1538.8207205024717,1541.4673615374702,-0.026361537470165786
93,2026-08-21,09:47:18.240,28,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.976,0.003633458,0.01135254,1541.354,0.0237383,0.1071777,22.821,0.003436239,1497.744,0.0003818233,6.895192,6.276666e-05,100,0,1,0,93,2026-08-21 09:47:18.240000+00:00,1,12.000216666666667,,True,0.20000361111111112,0.0,0.0,18.1,1.810362072414483,36.2,3.620724144828966,36.2,3.620724144828966,0.0,0.0,909.3,90.94818963792758,1006.1817121921699,1004.9872775157746,-0.01127751577462277,1539.0410718247663,1541.2842310121855,0.0697689878145411,0.36376449257404464,0.0,18.1,1.8110209893290905,35.83623550742596,3.5856450100822563,36.2,3.622041978658181,0.0,0.0,909.3,90.98129202193049,1006.2448708812755,1004.9662031914015,0.009796808598480311,1538.7388569325624,1541.3854979676344,-0.03149796763432278,0.36376449250797155,1.2241710024710467e-16,18.1,1.8110209893289706,35.836235507492034,3.58564501008863,36.2,3.622041978657941,0.0,0.0,909.3,90.98129202192446,1006.2448708812641,1004.9662031914055,0.009796808594501272,1538.7388569326179,1541.3854979676164,-0.031497967616360256
94,2026-08-21,09:49:18.242,29,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.994,0.005740904,0.0189209,1541.248,0.03594041,0.1450195,22.80038,0.008786435,1497.743,0.0007952013,6.895471,9.401724e-05,100,0,1,0,94,2026-08-21 09:49:18.242000+00:00,1,14.00025,,True,0.2333375,0.0,0.0,18.1,1.810362072414483,36.2,3.620724144828966,36.2,3.620724144828966,0.0,0.0,909.3,90.94818963792758,1006.1881686377767,1004.9937339613814,0.00026603861863350176,1539.0033943933931,1541.2465535808124,0.0014464191876868426,0.42439182379982876,0.0,18.1,1.81113085529788,35.77560817620017,3.579796012981394,36.2,3.62226171059576,0.0,0.0,909.3,90.98681142112497,1006.261860164171,1004.9831924742971,0.010807525702944076,1538.6507460754879,1541.2973871105598,-0.049387110559791836,0.4243918237227435,1.4281992195150867e-16,18.1,1.8111308552977403,35.77560817627726,3.5797960129888318,36.2,3.6222617105954806,0.0,0.0,909.3,90.98681142111795,1006.2618601641577,1004.9831924742991,0.010807525700897713,1538.650746075552,1541.2973871105505,-0.049387110550469515
95,2026-08-21,09:51:18.244,30,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1005.018,0.005696333,0.019104,1541.097,0.03832928,0.151001,22.75437,0.01299034,1497.739,0.001383548,6.895862,9.936278e-05,100,0,1,0,95,2026-08-21 09:51:18.244000+00:00,1,16.000283333333336,,True,0.2666713888888889,0.0,0.0,18.1,1.810362072414483,36.2,3.620724144828966,36.2,3.620724144828966,0.0,0.0,909.3,90.94818963792758,1006.2025750847763,1005.008140408381,0.009859591619033381,1538.9192004488907,1541.16235963631,-0.06535963630994956,0.48501915502561294,0.0,18.1,1.8112407345975623,35.71498084497439,3.5739463061762033,36.2,3.6224814691951246,0.0,0.0,909.3,90.99233149003112,1006.286791841716,1005.008124151842,0.009875848158003464,1538.515998175808,1541.16263921088,-0.0656392108799082,0.48501915493751546,1.6322274365591272e-16,18.1,1.8112407345974026,35.714980845062485,3.573946306184703,36.2,3.6224814691948053,0.0,0.0,909.3,90.99233149002309,1006.2867918417011,1005.0081241518425,0.009875848157548717,1538.5159981758814,1541.16263921088,-0.0656392108799082
96,2026-08-21,09:53:18.246,31,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1005.036,0.003411736,0.0135498,1540.989,0.02571304,0.1124268,22.71111,0.007560941,1497.734,0.0005963009,6.896141,6.698331e-05,100,0,1,0,96,2026-08-21 09:53:18.246000+00:00,1,18.000316666666667,,True,0.3000052777777778,0.0,0.0,18.1,1.810362072414483,36.2,3.620724144828966,36.2,3.620724144828966,0.0,0.0,909.3,90.94818963792758,1006.2161204563305,1005.0216857799352,0.014314220064761685,1538.8398837499687,1541.083042937388,-0.09404293738793967,0.5456464862513971,0.0,18.1,1.811350627230564,35.6543535137486,3.568095889537502,36.2,3.622701254461128,0.0,0.0,909.3,90.99785222877081,1006.3108631194124,1005.0321954295384,0.003804570461511503,1538.386096987498,1541.03273802257,-0.04373802256986892,0.5456464861522874,1.8362556536031673e-16,18.1,1.8113506272303843,35.65435351384772,3.568095889547067,36.2,3.6227012544607686,0.0,0.0,909.3,90.99785222876179,1006.3108631193951,1005.0321954295365,0.003804570463444179,1538.38609698758,1541.0327380225785,-0.04373802257850912
