Model,Segment,Start_min,End_min,IPA_rate_g_h,Water_rate_g_h
none,1,0.0,32.00055,0.0,0.0
ipa,1,0.0,32.00055,1.8187896236131302,0.0
mixed,1,0.0,32.00055,1.8187896232827705,6.120744498912891e-16
