SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_record,Timestamp,Phase,Phase_elapsed_min,Exclusion_reason,Used
287,2026-08-28,10:11:02.995,8,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.247,0.003263978,0.01312256,1545.125,0.01317991,0.06323242,24.95557,0.003110597,1498.007,0.001360134,6.885703,3.508912e-05,100,0,1,0,287,2026-08-28 10:11:02.995000+00:00,1,0.0,,True
288,2026-08-28,10:13:02.997,9,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.254,0.001395056,0.005981445,1545.125,0.01136028,0.05310059,24.96773,0.003027856,1498.012,0.0008076932,6.885708,3.031487e-05,100,1,1,1,288,2026-08-28 10:13:02.997000+00:00,1,2.000033333333333,,True
289,2026-08-28,10:15:02.999,10,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.257,0.001117127,0.005187988,1545.133,0.01245403,0.06982422,24.98028,0.003771347,1498.015,0.0009243626,6.885691,3.270728e-05,100,1,1,1,289,2026-08-28 10:15:02.999000+00:00,1,4.000066666666666,,True
290,2026-08-28,10:17:03.001,11,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.258,0.001036132,0.004882812,1545.173,0.02380729,0.09643555,24.99618,0.004499258,1498.019,0.001078029,6.885589,6.23744e-05,100,1,1,1,290,2026-08-28 10:17:03.001000+00:00,1,6.0001,,True
291,2026-08-28,10:19:03.003,12,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.26,0.001331343,0.00769043,1545.201,0.01395706,0.07250977,25.01133,0.003429224,1498.022,0.0007736919,6.885518,3.703267e-05,100,1,1,1,291,2026-08-28 10:19:03.003000+00:00,1,8.000133333333332,,True
292,2026-08-28,10:21:03.005,13,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.262,0.0007749931,0.004760742,1545.2,0.01173072,0.0501709,25.02415,0.00302171,1498.025,0.0006998827,6.885524,3.141189e-05,100,1,1,1,292,2026-08-28 10:21:03.005000+00:00,1,10.000166666666667,,True
293,2026-08-28,10:23:03.007,14,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.263,0.0009880165,0.004272461,1545.202,0.01263011,0.06188965,25.03624,0.003199688,1498.028,0.0007485321,6.885522,3.362369e-05,100,1,1,1,293,2026-08-28 10:23:03.007000+00:00,1,12.0002,,True
294,2026-08-28,10:25:03.009,15,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.262,0.001029109,0.005432129,1545.206,0.01141117,0.05786133,25.05002,0.003411956,1498.031,0.000675977,6.885513,3.03345e-05,100,1,1,1,294,2026-08-28 10:25:03.009000+00:00,1,14.000233333333334,,True
295,2026-08-28,10:27:03.011,16,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.263,0.0009137811,0.004638672,1545.215,0.01215453,0.05969238,25.0636,0.003342895,1498.034,0.000656882,6.885495,3.243927e-05,100,1,1,1,295,2026-08-28 10:27:03.011000+00:00,1,16.000266666666665,,True
296,2026-08-28,10:29:03.013,17,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.265,0.0009237159,0.005004883,1545.203,0.01077309,0.05224609,25.0743,0.002720046,1498.036,0.0006616548,6.885529,2.874068e-05,100,1,1,1,296,2026-08-28 10:29:03.013000+00:00,1,18.0003,,True
297,2026-08-28,10:31:03.015,18,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.264,0.0008123144,0.004455566,1545.211,0.01349023,0.06323242,25.08686,0.003406729,1498.039,0.0007367851,6.885511,3.557325e-05,100,1,1,1,297,2026-08-28 10:31:03.015000+00:00,1,20.000333333333334,,True
298,2026-08-28,10:33:03.017,19,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.264,0.001330817,0.006103516,1545.218,0.01154376,0.05334473,25.09972,0.003459717,1498.041,0.0006237373,6.885496,3.07545e-05,100,1,1,1,298,2026-08-28 10:33:03.017000+00:00,1,22.000366666666665,,True
299,2026-08-28,10:35:03.019,20,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.264,0.0006981351,0.003112793,1545.222,0.01064679,0.0534668,25.11229,0.002675061,1498.044,0.0005662215,6.885489,2.823062e-05,100,1,1,1,299,2026-08-28 10:35:03.019000+00:00,1,24.0004,,True
300,2026-08-28,10:37:03.021,21,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.265,0.0008900638,0.004211426,1545.23,0.01118492,0.0534668,25.12297,0.003214425,1498.046,0.0008155794,6.885471,2.948482e-05,100,1,1,1,300,2026-08-28 10:37:03.021000+00:00,1,26.000433333333334,,True
301,2026-08-28,10:39:03.023,22,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.265,0.00075728,0.003479004,1545.233,0.01201355,0.06311035,25.13546,0.003348095,1498.049,0.0006707419,6.885466,3.169859e-05,100,1,1,1,301,2026-08-28 10:39:03.023000+00:00,1,28.000466666666668,,True
