Model,IPA_rate_g_h,Water_rate_g_h,Total_rate_g_h,IPA_mass_fraction_in_loss,IPA_loss_g,Water_loss_g,RMSE_density_kg_m3,RMSE_sound_m_s,Weighted_SSE,Fitted_parameters_including_offsets,Normalized_Jacobian_condition,Boundary_parameters,IPA_rate_conditional_CI95_low_g_h,IPA_rate_conditional_CI95_high_g_h,Water_rate_conditional_CI95_low_g_h,Water_rate_conditional_CI95_high_g_h
none,0.0,0.0,0.0,,0.0,0.0,0.02240202299320783,0.06126533724115427,97.79824441186604,2,,,,,,
ipa,0.710360706452106,0.0,0.710360706452106,1.0,0.33150718803869966,0.0,0.0051629592749625084,0.02660418183890098,8.245117219142061,3,,,0.6896603067239012,0.73721072354681,0.0,0.0
mixed,0.7000239341920322,3.424161746236028,4.12418568042806,0.1697362797010087,0.326683280586881,1.597968780612617,0.00288902319267025,0.013081949204022659,2.278792621027765,4,1.0578643071963003,,0.6784925242532726,0.7261674698285574,2.350018122292895,4.386270004907674
