SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_record,Timestamp,Phase,Phase_elapsed_min,Exclusion_reason,Used,Elapsed_h,none_Loss_IPA_g,none_Loss_Water_g,none_Al_mass_g,none_Al_wt_pct,none_IPA_mass_g,none_IPA_wt_pct,none_PG_mass_g,none_PG_wt_pct,none_MG_mass_g,none_MG_wt_pct,none_Water_mass_g,none_Water_wt_pct,none_Rho_physics,none_Rho_fit_with_offset,none_Rho_residual,none_C_physics,none_C_fit_with_offset,none_C_residual,ipa_Loss_IPA_g,ipa_Loss_Water_g,ipa_Al_mass_g,ipa_Al_wt_pct,ipa_IPA_mass_g,ipa_IPA_wt_pct,ipa_PG_mass_g,ipa_PG_wt_pct,ipa_MG_mass_g,ipa_MG_wt_pct,ipa_Water_mass_g,ipa_Water_wt_pct,ipa_Rho_physics,ipa_Rho_fit_with_offset,ipa_Rho_residual,ipa_C_physics,ipa_C_fit_with_offset,ipa_C_residual,mixed_Loss_IPA_g,mixed_Loss_Water_g,mixed_Al_mass_g,mixed_Al_wt_pct,mixed_IPA_mass_g,mixed_IPA_wt_pct,mixed_PG_mass_g,mixed_PG_wt_pct,mixed_MG_mass_g,mixed_MG_wt_pct,mixed_Water_mass_g,mixed_Water_wt_pct,mixed_Rho_physics,mixed_Rho_fit_with_offset,mixed_Rho_residual,mixed_C_physics,mixed_C_fit_with_offset,mixed_C_residual
287,2026-08-28,10:11:02.995,8,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.247,0.003263978,0.01312256,1545.125,0.01317991,0.06323242,24.95557,0.003110597,1498.007,0.001360134,6.885703,3.508912e-05,100,0,1,0,287,2026-08-28 10:11:02.995000+00:00,1,0.0,,True,0.0,0.0,0.0,18.106,1.8105456836294913,36.212,3.6210913672589826,36.212,3.6210913672589826,0.0,0.0,909.5,90.94727158185255,1005.5142643089725,1004.2904218847324,-0.04342188473242459,1542.7560664661075,1545.0416431121057,0.08335688789429696,0.0,0.0,18.106,1.8105456836294913,36.212,3.6210913672589826,36.212,3.6210913672589826,0.0,0.0,909.5,90.94727158185255,1005.5142643089725,1004.2613783945692,-0.014378394569234842,1542.7560664661075,1545.1761816653786,-0.051181665378635444,0.0,0.0,18.106,1.8105456836294913,36.212,3.6210913672589826,36.212,3.6210913672589826,0.0,0.0,909.5,90.94727158185255,1005.5142643089725,1004.2544558480424,-0.00745584804246846,1542.7560664661075,1545.1385829424157,-0.013582942415723664
288,2026-08-28,10:13:02.997,9,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.254,0.001395056,0.005981445,1545.125,0.01136028,0.05310059,24.96773,0.003027856,1498.012,0.0008076932,6.885708,3.031487e-05,100,1,1,1,288,2026-08-28 10:13:02.997000+00:00,1,2.000033333333333,,True,0.033333888888888885,0.0,0.0,18.106,1.8105456836294913,36.212,3.6210913672589826,36.212,3.6210913672589826,0.0,0.0,909.5,90.94727158185255,1005.5104565870838,1004.2866141628436,-0.03261416284362895,1542.7760967593092,1545.0616734053074,0.0633265946926258,0.023679084859907117,0.0,18.106,1.8105885554233876,36.188320915140096,3.618809217328039,36.212,3.621177110846775,0.0,0.0,909.5,90.9494251164018,1005.5146021562862,1004.2617162418828,-0.007716241882803843,1542.7568556384006,1545.1769708376717,-0.051970837671660775,0.02333452004192007,0.1141406271866155,18.106,1.8107946154178929,36.18866547995808,3.6192555280165397,36.212,3.6215892308357858,0.0,0.0,909.3858593728133,90.94836062572978,1005.5155873574084,1004.2557788964783,-0.0017788964782994299,1542.7622559665865,1545.1447724428947,-0.019772442894691267
289,2026-08-28,10:15:02.999,10,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.257,0.001117127,0.005187988,1545.133,0.01245403,0.06982422,24.98028,0.003771347,1498.015,0.0009243626,6.885691,3.270728e-05,100,1,1,1,289,2026-08-28 10:15:02.999000+00:00,1,4.000066666666666,,True,0.06666777777777777,0.0,0.0,18.106,1.8105456836294913,36.212,3.6210913672589826,36.212,3.6210913672589826,0.0,0.0,909.5,90.94727158185255,1005.5065267419208,1004.2826843176806,-0.025684317680656932,1542.7967560057045,1545.0823326517027,0.05066734829733832,0.047358169719814235,0.0,18.106,1.810631429247649,36.16464183028019,3.6165269593167753,36.212,3.621262858495298,0.0,0.0,909.5,90.95157875294028,1005.5148188767442,1004.2619329623409,-0.004932962340944869,1542.758278453413,1545.178393652684,-0.045393652683969776,0.04666904008384014,0.228281254373231,18.106,1.8110436156669323,36.16533095991616,3.617419183885884,36.212,3.6220872313338646,0.0,0.0,909.2717187456268,90.94944996911332,1005.5167900406643,1004.2569815797342,1.8420265746499354e-05,1542.7690725561897,1545.151589032498,-0.01858903249785726
290,2026-08-28,10:17:03.001,11,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.258,0.001036132,0.004882812,1545.173,0.02380729,0.09643555,24.99618,0.004499258,1498.019,0.001078029,6.885589,6.23744e-05,100,1,1,1,290,2026-08-28 10:17:03.001000+00:00,1,6.0001,,True,0.10000166666666666,0.0,0.0,18.106,1.8105456836294913,36.212,3.6210913672589826,36.212,3.6210913672589826,0.0,0.0,909.5,90.94727158185255,1005.5015478933669,1004.2777054691268,-0.019705469126733988,1542.8229102202076,1545.1084868662058,0.06451313379420753,0.07103725457972135,0.0,18.106,1.8106743051024194,36.14096274542028,3.6142445932175136,36.212,3.621348610204839,0.0,0.0,909.5,90.95373249147522,1005.5139877739474,1004.261101859544,-0.003101859544017316,1542.7652029232738,1545.185318122545,-0.012318122544911603,0.0700035601257602,0.3424218815598465,18.106,1.8112926844048556,36.14199643987424,3.615582334658707,36.212,3.622585368809711,0.0,0.0,909.1575781184401,90.95053961212673,1005.5169455384978,1004.2571370775677,0.0008629224323613016,1542.7813829394981,1545.1638994158063,0.009100584193674877
291,2026-08-28,10:19:03.003,12,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.26,0.001331343,0.00769043,1545.201,0.01395706,0.07250977,25.01133,0.003429224,1498.022,0.0007736919,6.885518,3.703267e-05,100,1,1,1,291,2026-08-28 10:19:03.003000+00:00,1,8.000133333333332,,True,0.13333555555555554,0.0,0.0,18.106,1.8105456836294913,36.212,3.6210913672589826,36.212,3.6210913672589826,0.0,0.0,909.5,90.94727158185255,1005.4966622210226,1004.2728197967824,-0.01281979678242351,1542.847812167674,1545.1333888136721,0.06761118632789476,0.09471633943962847,0.0,18.106,1.8107171829878437,36.117283660560375,3.6119621190225755,36.212,3.6214343659756874,0.0,0.0,909.5,90.9558863320139,1005.5132504107285,1004.2603644963251,-0.00036449632511903474,1542.7708805311051,1545.1909957303762,0.010004269623777873,0.09333808016768028,0.456562508746462,18.106,1.8115418216599237,36.11866191983232,3.6137449801265857,36.212,3.6230836433198474,0.0,0.0,909.0434374912535,90.95162955489364,1005.5171957622396,1004.2573873013094,0.0026126986905410376,1542.7924394357622,1545.1749559120703,0.026044087929676607
292,2026-08-28,10:21:03.005,13,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.262,0.0007749931,0.004760742,1545.2,0.01173072,0.0501709,25.02415,0.00302171,1498.025,0.0006998827,6.885524,3.141189e-05,100,1,1,1,292,2026-08-28 10:21:03.005000+00:00,1,10.000166666666667,,True,0.16666944444444445,0.0,0.0,18.106,1.8105456836294913,36.212,3.6210913672589826,36.212,3.6210913672589826,0.0,0.0,909.5,90.94727158185255,1005.4924875217052,1004.2686450974651,-0.006645097465138861,1542.8688724447654,1545.1544490907636,0.04555090923645366,0.1183954242995356,0.0,18.106,1.8107600629040652,36.09360457570047,3.609679536724281,36.212,3.6215201258081304,0.0,0.0,909.5,90.95804027456352,1005.5132245651362,1004.2603386507328,0.0016613492671240238,1542.772719835872,1545.1928350351432,0.007164964856883671,0.11667260020960035,0.5707031359330775,18.106,1.8117910274604134,36.095327399790406,3.611907120080983,36.212,3.623582054920827,0.0,0.0,908.9292968640669,90.95271979753778,1005.5181585267596,1004.2583500658295,0.003649934170425695,1542.7996519339374,1545.1821684102456,0.01783158975445076
293,2026-08-28,10:23:03.007,14,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.263,0.0009880165,0.004272461,1545.202,0.01263011,0.06188965,25.03624,0.003199688,1498.028,0.0007485321,6.885522,3.362369e-05,100,1,1,1,293,2026-08-28 10:23:03.007000+00:00,1,12.0002,,True,0.2000033333333333,0.0,0.0,18.106,1.8105456836294913,36.212,3.6210913672589826,36.212,3.6210913672589826,0.0,0.0,909.5,90.94727158185255,1005.4885505388876,1004.2647081146474,-0.001708114647385628,1542.8887235065883,1545.1743001525865,0.027699847413487078,0.1420745091594427,0.0,18.106,1.8108029448512288,36.06992549084056,3.60739684631495,36.212,3.6216058897024577,0.0,0.0,909.5,90.96019431913136,1005.5134371256464,1004.2605512112431,0.002448788756964859,1542.773353805001,1545.1934690042722,0.00853099572782412,0.1400071202515204,0.684843763119693,18.106,1.8120403018346178,36.071992879748485,3.6100687543132457,36.212,3.6240806036692357,0.0,0.0,908.8151562368803,90.95381034018291,1005.5193606366113,1004.2595521756812,0.0034478243188686974,1542.8056530645622,1545.1881695408704,0.013830459129621886
294,2026-08-28,10:25:03.009,15,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.262,0.001029109,0.005432129,1545.206,0.01141117,0.05786133,25.05002,0.003411956,1498.031,0.000675977,6.885513,3.03345e-05,100,1,1,1,294,2026-08-28 10:25:03.009000+00:00,1,14.000233333333334,,True,0.23333722222222222,0.0,0.0,18.106,1.8105456836294913,36.212,3.6210913672589826,36.212,3.6210913672589826,0.0,0.0,909.5,90.94727158185255,1005.4840632246784,1004.2602208004382,0.0017791995617244538,1542.9113376100731,1545.1969142560713,0.00908574392860828,0.16575359401934983,0.0,18.106,1.8108458288294786,36.04624640598065,3.605114047786902,36.212,3.6216916576589573,0.0,0.0,909.5,90.96234846572466,1005.5131001511652,1004.2602142367618,0.0017857632381037547,1542.7767576245171,1545.1968728237882,0.009127176211677579,0.1633416402934405,0.7989843903063085,18.106,1.8122896448108436,36.048658359706565,3.608229882614606,36.212,3.6245792896216873,0.0,0.0,908.7010156096937,90.95490118295287,1005.5200140562474,1004.2602055953173,0.0017944046826414706,1542.8144160967013,1545.1969325730095,0.009067426990441163
295,2026-08-28,10:27:03.011,16,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.263,0.0009137811,0.004638672,1545.215,0.01215453,0.05969238,25.0636,0.003342895,1498.034,0.000656882,6.885495,3.243927e-05,100,1,1,1,295,2026-08-28 10:27:03.011000+00:00,1,16.000266666666665,,True,0.2666711111111111,0.0,0.0,18.106,1.8105456836294913,36.212,3.6210913672589826,36.212,3.6210913672589826,0.0,0.0,909.5,90.94727158185255,1005.4796410379172,1004.255798613677,0.007201386323004044,1542.9336111521743,1545.2191877981725,-0.004187798172551993,0.18943267887925694,0.0,18.106,1.8108887148389592,36.022567321120746,3.602831141132455,36.212,3.6217774296779184,0.0,0.0,909.5,90.96450271435067,1005.5128290267871,1004.2599431123838,0.0030568876162533343,1542.7798256752146,1545.1999408744857,0.015059125514198968,0.18667616033536055,0.913125017492924,18.106,1.8125390564174153,36.025323839664644,3.6063905047761824,36.212,3.6250781128348306,0.0,0.0,908.5868749825071,90.95599232597158,1005.5207342368477,1004.2609257759176,0.002074224082434739,1542.8228367271477,1545.2053532034558,0.009646796544075187
296,2026-08-28,10:29:03.013,17,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.265,0.0009237159,0.005004883,1545.203,0.01077309,0.05224609,25.0743,0.002720046,1498.036,0.0006616548,6.885529,2.874068e-05,100,1,1,1,296,2026-08-28 10:29:03.013000+00:00,1,18.0003,,True,0.300005,0.0,0.0,18.106,1.8105456836294913,36.212,3.6210913672589826,36.212,3.6210913672589826,0.0,0.0,909.5,90.94727158185255,1005.4761566930797,1004.2523142688395,0.012685731160445357,1542.9511523608496,1545.2367290068478,-0.033729006847806886,0.21311176373916407,0.0,18.106,1.8109316028798144,35.99888823626084,3.6005481263439267,36.212,3.6218632057596287,0.0,0.0,909.5,90.96665706501663,1005.5134962871979,1004.2606103727945,0.0043896272054553265,1542.7781612582346,1545.1982764575057,0.004723542494275534,0.21001068037728066,1.0272656446795396,18.106,1.8127885366826717,36.00198931962272,3.6045506205889786,36.212,3.6255770733653434,0.0,0.0,908.4727343553204,90.95708376936301,1005.5223938737302,1004.2625854128,0.0024145871999508017,1542.826521476551,1545.2090379528593,-0.006037952859287543
