Model,Segment,Start_min,End_min,IPA_rate_g_h,Water_rate_g_h
none,1,0.0,28.000466666666668,0.0,0.0
ipa,1,0.0,28.000466666666668,0.710360706452106,0.0
mixed,1,0.0,28.000466666666668,0.7000239341920322,3.424161746236028
