Timestamp_UTC,Elapsed_h,Phase,Kind,Cumulative_IPA_loss_g,Cumulative_Water_loss_g,Cumulative_total_loss_g,Al_mass_g,Al_wt_pct,IPA_mass_g,IPA_wt_pct,PG_mass_g,PG_wt_pct,MG_mass_g,MG_wt_pct,Water_mass_g,Water_wt_pct,Source_record,Temperature_C,Rho_observed,Rho_predicted_with_phase_offset,Rho_residual,C_observed,C_predicted_with_phase_offset,C_residual
2026-09-07T08:08:25.839000+00:00,0.0,1,initial,0.0,0.0,0.0,18.192,1.8181273048901148,36.384,3.6362546097802295,36.384,3.6362546097802295,0.0,0.0,909.63,90.90936347554943,,,,,,,,
2026-09-07T08:08:25.839000+00:00,0.0,1,pre_stir_start,0.0,0.0,0.0,18.192,1.8181273048901148,36.384,3.6362546097802295,36.384,3.6362546097802295,0.0,0.0,909.63,90.90936347554943,,,,,,,,
2026-09-07T09:08:25.839000+00:00,1.0,1,pre_stir_end,0.07692063753813369,1.9230793624618663,2.0,18.192,1.8217686938583402,36.30707936246187,3.6358344628387895,36.384,3.6435373877166803,0.0,0.0,907.7069206375381,90.89885945558619,,,,,,,,
2026-09-07T09:08:25.839000+00:00,1.0,1,after_addition,0.07692063753813369,1.9230793624618663,2.0,18.192,1.8217686938583402,36.30707936246187,3.6358344628387895,36.384,3.6435373877166803,0.0,0.0,907.7069206375381,90.89885945558619,,,,,,,,
2026-09-07T09:08:25.839000+00:00,1.0,1,fitted,0.07692063753813369,1.9230793624618663,2.0,18.192,1.8217686938583402,36.30707936246187,3.6358344628387895,36.384,3.6435373877166803,0.0,0.0,907.7069206375381,90.89885945558619,629.0,22.3999,1005.543,1005.5450951858118,-0.0020951858117541633,1540.252,1540.2452135251608,0.00678647483914574
2026-09-07T09:10:25.841000+00:00,1.0333338888888888,1,fitted,0.0978706977133258,1.9711430882901024,2.069013786003428,18.192,1.8218946072407545,36.286129302286675,3.633987648058312,36.384,3.643789214481509,0.0,0.0,907.6588569117099,90.90032853021943,630.0,22.42177,1005.542,1005.542322098132,-0.0003220981319600469,1540.276,1540.2705299378395,0.005470062160611633
2026-09-07T09:12:25.843000+00:00,1.0666677777777778,1,fitted,0.1188207578885179,2.0192068141183386,2.1380275720068567,18.192,1.8220205380296326,36.265179242111486,3.632140577971253,36.384,3.644041076059265,0.0,0.0,907.6107931858817,90.90179780793984,631.0,22.44124,1005.54,1005.5403031678607,-0.00030316786069306545,1540.292,1540.291371365663,0.0006286343368628877
2026-09-07T09:14:25.845000+00:00,1.1000016666666665,1,fitted,0.13977081806371,2.0672705399465743,2.2070413580102843,18.192,1.8221464862285848,36.24422918193629,3.630293252524667,36.384,3.6442929724571695,0.0,0.0,907.5627294600534,90.90326728878958,632.0,22.45623,1005.54,1005.5396907759853,0.00030922401469979377,1540.302,1540.3039010596963,-0.001901059696365337
2026-09-07T09:16:25.847000+00:00,1.1333355555555555,1,fitted,0.1607208782389021,2.1153342657748104,2.2760551440137125,18.192,1.8222724518412214,36.2232791217611,3.628445671665596,36.384,3.644544903682443,0.0,0.0,907.5146657342252,90.90473697281075,633.0,22.46985,1005.54,1005.5395092526062,0.0004907473937691975,1540.31,1540.3138828498124,-0.0038828498124985344
2026-09-07T09:18:25.849000+00:00,1.1666694444444445,1,fitted,0.1816709384140942,2.1633979916030466,2.345068930017141,18.192,1.8223984348711544,36.20232906158591,3.626597835341065,36.384,3.6447968697423088,0.0,0.0,907.466602008397,90.90620686004549,634.0,22.4846,1005.54,1005.5389743993044,0.0010256006955842167,1540.323,1540.3259398052357,-0.0029398052356555127
