Model,N,Bias_ME,MAE,RMSE,MAPE_pct,R2
Density - physics,82,0.907452777720305,0.907452777720305,0.9168383837626265,0.09030491875581143,0.7041921634758737
Density - hybrid,82,-0.5408684089044785,0.5408684089044785,0.5485453750705583,0.05382814733993535,0.8941113974398498
Sound velocity - physics,82,-4.912746137859225,4.912746137859225,5.2809265973628925,0.3131345096814139,0.857319453628337
Sound velocity - hybrid,82,-0.662976862548376,0.9720654290196274,1.283906359835211,0.06181169161442081,0.9915664348940768
