Model,N,Bias_ME,MAE,RMSE,MAPE_pct,R2,Weighting
Density - physics,9,0.8867390126053655,0.8867390126053655,0.8957313534375524,0.08826114629181454,0.779193502202288,One equal weight per phase mean
Density - hybrid,9,-0.5657077278942274,0.5657077278942274,0.5716074768690305,0.05631805611629659,0.9100808694448072,One equal weight per phase mean
Sound velocity - physics,9,-5.042588043591751,5.042588043591751,5.41955125709885,0.32103523956570434,0.8352563642436204,One equal weight per phase mean
Sound velocity - hybrid,9,-0.769065020346362,1.131644673811176,1.4273268539033201,0.07190266742060993,0.9885730885084606,One equal weight per phase mean
