SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_record,Timestamp,Phase,Phase_elapsed_min,Exclusion_reason,Used
658,2026-09-07,10:38:16.054,56,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.748,0.005477304,0.01751709,1543.975,0.0110114,0.05419922,22.97371,0.002749398,1497.963,0.001790285,6.888231,2.980093e-05,100,0,1,0,658,2026-09-07 10:38:16.054000+00:00,3,0.0,,True
659,2026-09-07,10:40:16.056,57,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0007340887,0.00378418,1543.957,0.009543575,0.04577637,22.98405,0.003043793,1497.966,0.000622839,6.888281,2.567214e-05,100,1,1,1,659,2026-09-07 10:40:16.056000+00:00,3,2.000033333333333,,True
660,2026-09-07,10:42:16.058,58,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0006906429,0.003540039,1543.956,0.00854353,0.03259277,22.99597,0.003414179,1497.969,0.0007319943,6.888286,2.287838e-05,100,1,1,1,660,2026-09-07 10:42:16.058000+00:00,3,4.000066666666666,,True
661,2026-09-07,10:44:16.060,59,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0006544575,0.003295898,1543.953,0.008548569,0.03820801,23.00769,0.002855695,1497.972,0.0005843941,6.888297,2.280422e-05,100,1,1,1,661,2026-09-07 10:44:16.060000+00:00,3,6.0001,,True
662,2026-09-07,10:46:16.062,60,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0006895786,0.003112793,1543.955,0.009133289,0.04443359,23.01843,0.002398741,1497.974,0.0005815476,6.888296,2.408954e-05,100,1,1,1,662,2026-09-07 10:46:16.062000+00:00,3,8.000133333333332,,True
663,2026-09-07,10:48:16.064,61,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.758,0.0006966566,0.003295898,1543.958,0.008233023,0.04187012,23.02864,0.00261295,1497.976,0.0005048973,6.888289,2.201186e-05,100,1,1,1,663,2026-09-07 10:48:16.064000+00:00,3,10.000166666666667,,True
664,2026-09-07,10:50:16.066,62,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.758,0.0007872715,0.00378418,1543.959,0.008065986,0.03649902,23.03769,0.002127988,1497.978,0.0004418101,6.88829,2.156061e-05,100,1,1,1,664,2026-09-07 10:50:16.066000+00:00,3,12.0002,,True
665,2026-09-07,10:52:16.068,63,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.759,0.0007485672,0.003356934,1543.959,0.007771019,0.03625488,23.04564,0.002336289,1497.979,0.0004876937,6.888293,2.06988e-05,100,1,1,1,665,2026-09-07 10:52:16.068000+00:00,3,14.000233333333334,,True
666,2026-09-07,10:54:16.070,64,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.759,0.0006198715,0.002868652,1543.964,0.00730716,0.03417969,23.05517,0.001904586,1497.981,0.0004018744,6.888281,1.941724e-05,100,1,1,1,666,2026-09-07 10:54:16.070000+00:00,3,16.000266666666665,,True
667,2026-09-07,10:56:16.072,65,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.758,0.0006609584,0.002807617,1543.969,0.006886348,0.03442383,23.06432,0.002437817,1497.983,0.0004938765,6.888272,1.822652e-05,100,1,1,1,667,2026-09-07 10:56:16.072000+00:00,3,18.0003,,True
668,2026-09-07,10:58:16.074,66,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.758,0.0007609208,0.003295898,1543.976,0.007796004,0.04602051,23.07432,0.002883951,1497.985,0.0005569695,6.888254,2.061246e-05,100,1,1,1,668,2026-09-07 10:58:16.074000+00:00,3,20.000333333333334,,True
669,2026-09-07,11:00:16.076,67,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.758,0.0007763904,0.003356934,1543.985,0.008004499,0.04577637,23.08464,0.002529936,1497.987,0.0004817268,6.888233,2.134824e-05,100,1,1,1,669,2026-09-07 11:00:16.076000+00:00,3,22.000366666666665,,True
670,2026-09-07,11:02:16.078,68,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0006450271,0.003295898,1543.996,0.009533828,0.04223633,23.09585,0.003048921,1497.99,0.0005807823,6.888208,2.499287e-05,100,1,1,1,670,2026-09-07 11:02:16.078000+00:00,3,24.0004,,True
671,2026-09-07,11:04:16.081,69,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.756,0.0005657321,0.002746582,1544.007,0.006883822,0.03442383,23.10782,0.002771228,1497.992,0.0005114667,6.888181,1.816299e-05,100,1,1,1,671,2026-09-07 11:04:16.081000+00:00,3,26.00045,,True
