Model,IPA_rate_g_h,Prediction_model,Calibration_field,Water_rate_g_h,Total_rate_g_h,IPA_mass_fraction_in_loss,IPA_loss_g,Water_loss_g,RMSE_density_kg_m3,RMSE_sound_m_s,Weighted_SSE,Fitted_parameters_including_offsets,Normalized_Jacobian_condition,Boundary_parameters,IPA_rate_conditional_CI95_low_g_h,IPA_rate_conditional_CI95_high_g_h,Water_rate_conditional_CI95_low_g_h,Water_rate_conditional_CI95_high_g_h
none,0.0,physics,,0.0,0.0,,0.0,0.0,0.01819625619529492,0.0633424924759894,93.40297279305156,2,,,,,,
ipa,0.5461979703015015,physics,,0.0,0.5461979703015015,1.0,0.3277243958822623,0.0,0.00352756442878513,0.019126382413975646,5.1445256841205715,3,,,0.4903819382773681,0.6235504996355737,0.0,0.0
mixed,0.5447901616516929,physics,,1.5691336450618047,2.1139238067134976,0.2577151361470659,0.3268796962232327,0.9414963142439903,0.0025125744692871548,0.014141067524925903,2.719246197763896,4,1.015290074190414,,0.48877992869588976,0.6224155601867992,1.2704590178861188,1.8824836620400491
